2023-08-30 17:57:16,490 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-30 17:57:16,757 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:16,758 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:16,758 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:16,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:16,770 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:16,772 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 17:57:18,368 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=45bc3a9f-015c-4588-a683-04e0c0b15a67(f58c3a210244/172.18.0.5)} | ret=SUCCESS |  
2023-08-30 17:57:18,658 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=4316ae3b-ebbc-4425-984f-32ac2ba19cff(25978c5e7ce5/172.18.0.4)} | ret=SUCCESS |  
2023-08-30 17:57:18,706 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-08-30 17:57:19,202 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=7b224573-9015-412d-b1d0-3e460d3d080c(e60c1daf1667/172.18.0.7)} | ret=SUCCESS |  
