2023-09-13 07:35:48,647 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:52,086 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:52,407 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:52,800 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:53,713 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:57,984 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=144f00b6-e559-46a0-832e-b618009d0a48, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-13 07:36:00,527 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:00,861 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:00,928 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:10,648 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=144f00b6-e559-46a0-832e-b618009d0a48, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-13 07:36:13,280 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:24,983 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=144f00b6-e559-46a0-832e-b618009d0a48, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-13 07:36:30,870 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:30,957 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:43,304 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:36:57,466 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=144f00b6-e559-46a0-832e-b618009d0a48, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-13 07:37:00,880 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:37:00,943 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:37:05,497 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=144f00b6-e559-46a0-832e-b618009d0a48, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-13 07:37:13,288 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:37:30,865 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:37:30,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
2023-09-13 07:37:43,280 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:38:00,877 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:38:00,951 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
