2023-06-14 14:38:39,144 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:43,136 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:43,527 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:43,600 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:44,206 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:49,636 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=fe2bc5ae-6c24-49ee-ac04-46168f89ef64, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-14 14:38:52,590 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:52,658 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:38:52,788 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:02,103 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=fe2bc5ae-6c24-49ee-ac04-46168f89ef64, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-14 14:39:04,500 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:14,603 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=fe2bc5ae-6c24-49ee-ac04-46168f89ef64, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-14 14:39:22,586 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:22,657 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:34,486 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:49,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=fe2bc5ae-6c24-49ee-ac04-46168f89ef64, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-14 14:39:52,592 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:52,661 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:39:56,886 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=fe2bc5ae-6c24-49ee-ac04-46168f89ef64, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-14 14:40:04,483 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:40:22,603 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:40:22,664 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
2023-06-14 14:40:34,480 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50584a1f-1e7e-4f98-9d6d-644d02ac07a8, command=[]} | ret=SUCCESS |  
2023-06-14 14:40:52,595 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6584dca4-66ac-4bbe-8c1f-41d7d59a9c26, command=[]} | ret=SUCCESS |  
2023-06-14 14:40:52,657 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=1163593b-c23a-4eb6-927a-261ea15fe1d3, command=[]} | ret=SUCCESS |  
