2024-04-20 10:50:45,751 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:49,913 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:50,376 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:50,961 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:52,400 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c5795468-54da-4fe3-9768-4880f4f4832b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-20 10:50:53,740 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:53,766 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:53,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:59,392 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c5795468-54da-4fe3-9768-4880f4f4832b, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-04-20 10:51:00,562 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:51:06,437 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c5795468-54da-4fe3-9768-4880f4f4832b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-20 10:51:23,497 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c5795468-54da-4fe3-9768-4880f4f4832b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-20 10:51:23,733 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:51:23,764 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
2024-04-20 10:51:27,968 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c5795468-54da-4fe3-9768-4880f4f4832b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-20 10:51:30,566 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:51:53,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:51:53,771 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
