2024-09-13 07:34:55,360 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:25,092 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=68faf42b-35b5-4430-86ef-e82765b97228, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:25,360 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:43,608 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=d6263ef2-12c4-4213-941c-f4bfdb664ceb, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e0cf51f8-441c-44a6-8ea2-223a30f2b1b2" uuid128 { mostSigBits: -2247487562298145626 leastSigBits: -8168929140771999310 } } type: RATIS factor: ONE datanode { uuid: "d6263ef2-12c4-4213-941c-f4bfdb664ceb" ipAddress: "172.20.0.4" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "d6263ef2-12c4-4213-941c-f4bfdb664ceb" networkLocation: "/default-rack" uuid128 { mostSigBits: -3015653691060108781 leastSigBits: -7774069751891473173 } } cmdId: 1726212885570 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ad08e41c-0aa9-4e3b-837f-4015bc075272" uuid128 { mostSigBits: -5978277696245248453 leastSigBits: -8971381470605651342 } } type: RATIS factor: THREE datanode { uuid: "b1fd9cea-de24-4133-b352-83781eb3fae5" ipAddress: "172.20.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b1fd9cea-de24-4133-b352-83781eb3fae5" networkLocation: "/default-rack" uuid128 { mostSigBits: -5621164227325312717 leastSigBits: -5525209240895751451 } } datanode { uuid: "d6263ef2-12c4-4213-941c-f4bfdb664ceb" ipAddress: "172.20.0.4" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "d6263ef2-12c4-4213-941c-f4bfdb664ceb" networkLocation: "/default-rack" uuid128 { mostSigBits: -3015653691060108781 leastSigBits: -7774069751891473173 } } datanode { uuid: "68faf42b-35b5-4430-86ef-e82765b97228" ipAddress: "172.20.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "68faf42b-35b5-4430-86ef-e82765b97228" networkLocation: "/default-rack" uuid128 { mostSigBits: 7564626990544012336 leastSigBits: -8723498697285340632 } } cmdId: 1726212885573 } ]} | ret=SUCCESS |  
2024-09-13 07:35:46,153 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=3e29bf10-bed1-4757-ad8d-713584888bb7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-09-13 07:35:47,374 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=68faf42b-35b5-4430-86ef-e82765b97228, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:47,480 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=d6263ef2-12c4-4213-941c-f4bfdb664ceb, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:47,516 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=b1fd9cea-de24-4133-b352-83781eb3fae5, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:51,543 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=d6263ef2-12c4-4213-941c-f4bfdb664ceb, command=[]} | ret=SUCCESS |  
2024-09-13 07:35:52,340 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=3e29bf10-bed1-4757-ad8d-713584888bb7, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
