2025-12-04 17:28:11,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-04 17:28:11,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-04 17:28:11,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-04 17:28:11,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-04 17:28:11,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-04 17:28:14,789 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {"datanodeDetails":"07207d23-4d79-4b8c-a6e7-80356b4d4729(5ad368c77f24/172.18.0.10)"} | ret=SUCCESS |  
2025-12-04 17:28:14,791 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"28570a87-b008-4d49-be5c-f6d914fd5bce(5b6fdf34b9b0/172.18.0.9)"} | ret=SUCCESS |  
2025-12-04 17:28:14,799 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"29af7e1c-25da-4279-823d-313842604558(12a67bc25dcb/172.18.0.6)"} | ret=SUCCESS |  
2025-12-04 17:28:14,790 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"3e840c4d-6aca-4a54-982d-6da07a525a0d(a3ffa00a1edb/172.18.0.8)"} | ret=SUCCESS |  
2025-12-04 17:28:15,183 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {"datanodeDetails":"b92c4d2a-374a-4e21-a432-95286b93f9ee(73bf26ae2223/172.18.0.11)"} | ret=SUCCESS |  
2025-12-04 17:28:15,903 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"28570a87-b008-4d49-be5c-f6d914fd5bce","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:15,904 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"29af7e1c-25da-4279-823d-313842604558","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:15,905 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3e840c4d-6aca-4a54-982d-6da07a525a0d","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:16,540 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"07207d23-4d79-4b8c-a6e7-80356b4d4729","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:16,923 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"b92c4d2a-374a-4e21-a432-95286b93f9ee","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:17,324 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2025-12-04 17:28:17,901 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2025-12-04 17:28:18,005 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-12-04 17:28:18,622 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"07207d23-4d79-4b8c-a6e7-80356b4d4729","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:18,633 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3e840c4d-6aca-4a54-982d-6da07a525a0d","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:18,641 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"b92c4d2a-374a-4e21-a432-95286b93f9ee","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:18,641 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"28570a87-b008-4d49-be5c-f6d914fd5bce","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:18,645 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"29af7e1c-25da-4279-823d-313842604558","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:21,303 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-04 17:28:22,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-04 17:28:23,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-04 17:28:23,618 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"07207d23-4d79-4b8c-a6e7-80356b4d4729","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:23,626 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3e840c4d-6aca-4a54-982d-6da07a525a0d","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:23,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"b92c4d2a-374a-4e21-a432-95286b93f9ee","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:23,640 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"28570a87-b008-4d49-be5c-f6d914fd5bce","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:23,645 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"29af7e1c-25da-4279-823d-313842604558","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:24,071 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"07207d23-4d79-4b8c-a6e7-80356b4d4729","term":"2","command":"[]"} | ret=SUCCESS |  
2025-12-04 17:28:24,087 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"07207d23-4d79-4b8c-a6e7-80356b4d4729","term":"2","command":"[]"} | ret=SUCCESS |  
