2023-09-15 05:24:50,976 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:24:54,678 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:24:54,688 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:24:55,631 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1c5caa2b-0ed3-46e4-bcea-d5244ea5c89e, command=[]} | ret=SUCCESS |  
2023-09-15 05:24:56,132 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:24:58,827 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=e75a63e8-55ae-4545-bf7b-4f1ac9ab226f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-15 05:25:01,336 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:01,544 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1c5caa2b-0ed3-46e4-bcea-d5244ea5c89e, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:01,669 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:10,870 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=e75a63e8-55ae-4545-bf7b-4f1ac9ab226f, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-15 05:25:13,065 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:22,836 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=e75a63e8-55ae-4545-bf7b-4f1ac9ab226f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-15 05:25:31,517 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1c5caa2b-0ed3-46e4-bcea-d5244ea5c89e, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:31,636 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:43,065 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:25:52,925 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=e75a63e8-55ae-4545-bf7b-4f1ac9ab226f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-15 05:25:59,778 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=e75a63e8-55ae-4545-bf7b-4f1ac9ab226f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-15 05:26:01,516 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1c5caa2b-0ed3-46e4-bcea-d5244ea5c89e, command=[]} | ret=SUCCESS |  
2023-09-15 05:26:01,647 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:26:13,074 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
2023-09-15 05:26:31,519 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1c5caa2b-0ed3-46e4-bcea-d5244ea5c89e, command=[]} | ret=SUCCESS |  
2023-09-15 05:26:31,637 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d72e2165-c528-43a0-a800-d7a3152bda9c, command=[]} | ret=SUCCESS |  
2023-09-15 05:26:43,077 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=03d2535c-0d98-43e6-8632-f9dede29001a, command=[]} | ret=SUCCESS |  
