2023-07-20 12:23:03,541 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-20 12:23:39,409 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-20 12:23:39,987 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=REGISTER {datanodeDetails=ee152ec3-9b8c-4257-a20c-60509c0f7896(44f908762229/172.25.0.121)} | ret=SUCCESS |  
2023-07-20 12:23:43,149 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, term=4, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "547fbd23-05d0-4f98-a3ad-8c703ca00032" uuid128 { mostSigBits: 6088793179347242904 leastSigBits: -6652506660875009998 } } type: RATIS factor: ONE datanode { uuid: "ee152ec3-9b8c-4257-a20c-60509c0f7896" ipAddress: "172.25.0.121" hostName: "ozonesecure-ha_datanode4_1.ozonesecure-ha_ozone_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "ee152ec3-9b8c-4257-a20c-60509c0f7896" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1291074300508618153 leastSigBits: -6769930240512788330 } } cmdId: 1689855819973 priority: 1 } term: 4 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-07-20 12:23:52,104 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.120 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-20 12:24:11,316 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-20 12:24:11,986 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, term=4, command=[]} | ret=SUCCESS |  
2023-07-20 12:24:13,495 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, term=4, command=[]} | ret=SUCCESS |  
2023-07-20 12:24:18,826 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, term=4, command=[]} | ret=SUCCESS |  
2023-07-20 12:24:21,905 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-20 12:24:31,496 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.120 | op=TRANSFER_LEADERSHIP {newLeaderId=fc282105-e55c-4cf8-b142-09ef3e676491} | ret=SUCCESS |  
2023-07-20 12:24:48,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, command=[]} | ret=SUCCESS |  
2023-07-20 12:25:18,973 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, command=[]} | ret=SUCCESS |  
2023-07-20 12:25:48,981 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.121 | op=SEND_HEARTBEAT {datanodeUUID=ee152ec3-9b8c-4257-a20c-60509c0f7896, command=[]} | ret=SUCCESS |  
