2023-10-26 16:35:24,910 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:29,163 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:29,211 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:29,754 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=eb6c7091-ef79-44a6-b4e3-06416bfce876, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:29,927 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:33,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=8a35ea9b-b1c9-4cc0-b3e9-369d66af5371, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-26 16:35:35,356 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:35,440 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=eb6c7091-ef79-44a6-b4e3-06416bfce876, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:35,745 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:45,787 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=8a35ea9b-b1c9-4cc0-b3e9-369d66af5371, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-26 16:35:47,847 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:35:56,411 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=8a35ea9b-b1c9-4cc0-b3e9-369d66af5371, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-26 16:36:05,442 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=eb6c7091-ef79-44a6-b4e3-06416bfce876, command=[]} | ret=SUCCESS |  
2023-10-26 16:36:05,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
2023-10-26 16:36:17,833 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:36:22,679 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=8a35ea9b-b1c9-4cc0-b3e9-369d66af5371, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-26 16:36:28,457 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=8a35ea9b-b1c9-4cc0-b3e9-369d66af5371, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-26 16:36:35,441 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=eb6c7091-ef79-44a6-b4e3-06416bfce876, command=[]} | ret=SUCCESS |  
2023-10-26 16:36:35,743 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
2023-10-26 16:36:47,836 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=8bcc6373-0d82-4589-aea6-f2945278a4bb, command=[]} | ret=SUCCESS |  
2023-10-26 16:37:05,443 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=eb6c7091-ef79-44a6-b4e3-06416bfce876, command=[]} | ret=SUCCESS |  
2023-10-26 16:37:05,738 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=563e9e7c-53cc-4105-8195-457812cc066c, command=[]} | ret=SUCCESS |  
