2023-06-22 08:38:41,622 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:44,508 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:44,745 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:45,832 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:46,764 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:51,609 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=294cd4ce-20a7-41c7-afb6-e3eb632c138a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-22 08:38:53,821 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:53,934 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:53,969 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:01,781 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=294cd4ce-20a7-41c7-afb6-e3eb632c138a, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-22 08:39:03,854 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:12,877 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=294cd4ce-20a7-41c7-afb6-e3eb632c138a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-22 08:39:23,845 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:23,923 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:33,863 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:44,767 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=294cd4ce-20a7-41c7-afb6-e3eb632c138a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-22 08:39:51,042 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=294cd4ce-20a7-41c7-afb6-e3eb632c138a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-22 08:39:53,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:39:53,928 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:40:03,870 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:40:23,830 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
2023-06-22 08:40:23,918 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:40:33,866 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
