2023-06-22 08:52:22,825 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-22 08:52:22,874 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,876 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,876 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,876 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,877 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,885 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,893 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,941 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:22,988 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:23,000 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-22 08:52:24,440 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-22 08:52:25,792 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-22 08:52:26,119 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=REGISTER {datanodeDetails=1c635413-c797-403f-bedc-bdd0587a593c(b325136153fd/172.24.0.13)} | ret=SUCCESS |  
2023-06-22 08:52:26,153 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=REGISTER {datanodeDetails=31613e4d-b990-42be-9377-00c7a7ba3288(2e3fa1f00372/172.24.0.8)} | ret=SUCCESS |  
2023-06-22 08:52:26,214 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=REGISTER {datanodeDetails=5cccec7c-2f8e-4410-a445-f064595c8b02(92add0f1b6b7/172.24.0.11)} | ret=SUCCESS |  
2023-06-22 08:52:26,301 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=REGISTER {datanodeDetails=73ad851d-99db-49b7-ac3d-75be53f012c8(ada99c0504f5/172.24.0.12)} | ret=SUCCESS |  
2023-06-22 08:52:26,317 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=REGISTER {datanodeDetails=cd5a4933-0666-4f07-ab50-d6c55125d602(7c8c150a4dbd/172.24.0.15)} | ret=SUCCESS |  
2023-06-22 08:52:27,802 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1c635413-c797-403f-bedc-bdd0587a593c, term=2, command=[]} | ret=SUCCESS |  
2023-06-22 08:52:28,343 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5cccec7c-2f8e-4410-a445-f064595c8b02, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "62317552-41b7-4512-b6c8-d0b46c7c7cf5" uuid128 { mostSigBits: 7075565485726057746 leastSigBits: -5275737490131747595 } } type: RATIS factor: THREE datanode { uuid: "cd5a4933-0666-4f07-ab50-d6c55125d602" ipAddress: "172.24.0.15" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "cd5a4933-0666-4f07-ab50-d6c55125d602" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3649524064530837753 leastSigBits: -6102141352128686590 } } datanode { uuid: "5cccec7c-2f8e-4410-a445-f064595c8b02" ipAddress: "172.24.0.11" hostName: "xcompat_datanode_5.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5cccec7c-2f8e-4410-a445-f064595c8b02" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6686979564856296464 leastSigBits: -6609612564309701886 } } datanode { uuid: "1c635413-c797-403f-bedc-bdd0587a593c" ipAddress: "172.24.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1c635413-c797-403f-bedc-bdd0587a593c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2045571099686027327 leastSigBits: -4693668009091638980 } } cmdId: 1687423946352 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
