2023-06-05 20:12:28,979 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=01a0fad3-5032-4d63-ad32-dbddd8d52126, command=[]} | ret=SUCCESS |  
2023-06-05 20:12:36,969 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2c74bc23-7e45-42a5-a1f6-767593a94cf1, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-05 20:12:39,073 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=79e05cc3-224f-4321-8e58-ba908b738cb4, command=[]} | ret=SUCCESS |  
2023-06-05 20:12:47,458 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2c74bc23-7e45-42a5-a1f6-767593a94cf1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-05 20:12:58,732 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0ff9e562-17d5-4211-85ee-f8f61fbb4148, command=[]} | ret=SUCCESS |  
2023-06-05 20:12:58,952 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=01a0fad3-5032-4d63-ad32-dbddd8d52126, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:09,029 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=79e05cc3-224f-4321-8e58-ba908b738cb4, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:19,699 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2c74bc23-7e45-42a5-a1f6-767593a94cf1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-05 20:13:26,151 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2c74bc23-7e45-42a5-a1f6-767593a94cf1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-05 20:13:28,718 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0ff9e562-17d5-4211-85ee-f8f61fbb4148, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:28,949 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=01a0fad3-5032-4d63-ad32-dbddd8d52126, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:39,037 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=79e05cc3-224f-4321-8e58-ba908b738cb4, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:58,716 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0ff9e562-17d5-4211-85ee-f8f61fbb4148, command=[]} | ret=SUCCESS |  
2023-06-05 20:13:58,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=01a0fad3-5032-4d63-ad32-dbddd8d52126, command=[]} | ret=SUCCESS |  
2023-06-05 20:14:09,039 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=79e05cc3-224f-4321-8e58-ba908b738cb4, command=[]} | ret=SUCCESS |  
