2023-08-18 05:58:35,585 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,585 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,596 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,598 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,598 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,601 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-18 05:58:35,960 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-18 05:58:38,064 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=9f5f2d50-14b0-4b24-9d80-196555175e5b(14e9a0477326/172.18.0.3)} | ret=SUCCESS |  
2023-08-18 05:58:39,047 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=9b73926f-7f6a-430e-99ee-3e19351b7af7(0fa0f5b23e38/172.18.0.7)} | ret=SUCCESS |  
2023-08-18 05:58:39,124 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {datanodeDetails=91e57dbd-2093-422f-85e5-3a997cab2458(1e68b64eddc1/172.18.0.2)} | ret=SUCCESS |  
2023-08-18 05:58:40,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9f5f2d50-14b0-4b24-9d80-196555175e5b, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5088ce05-cc62-4181-bb8e-f1a17384eb5c" uuid128 { mostSigBits: 5803114644166033793 leastSigBits: -4931738866193994916 } } type: RATIS factor: ONE datanode { uuid: "9f5f2d50-14b0-4b24-9d80-196555175e5b" ipAddress: "172.18.0.3" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9f5f2d50-14b0-4b24-9d80-196555175e5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6962796676923765980 leastSigBits: -7097645089725915557 } } cmdId: 1692338318048 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "9f5484e0-d449-48c8-9327-3f289257e022" uuid128 { mostSigBits: -6965796622466201400 leastSigBits: -7843230782555955166 } } type: RATIS factor: THREE datanode { uuid: "9b73926f-7f6a-430e-99ee-3e19351b7af7" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b73926f-7f6a-430e-99ee-3e19351b7af7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7245286367932300530 leastSigBits: -7354872863463343369 } } datanode { uuid: "91e57dbd-2093-422f-85e5-3a997cab2458" ipAddress: "172.18.0.2" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91e57dbd-2093-422f-85e5-3a997cab2458" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7933796917294448081 leastSigBits: -8798561866102397864 } } datanode { uuid: "9f5f2d50-14b0-4b24-9d80-196555175e5b" ipAddress: "172.18.0.3" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9f5f2d50-14b0-4b24-9d80-196555175e5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6962796676923765980 leastSigBits: -7097645089725915557 } } cmdId: 1692338318051 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a3d3698e-c1ac-44aa-8598-511e3d7ede32" uuid128 { mostSigBits: -6641848963585784662 leastSigBits: -8820210679882523086 } } type: RATIS factor: THREE datanode { uuid: "91e57dbd-2093-422f-85e5-3a997cab2458" ipAddress: "172.18.0.2" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91e57dbd-2093-422f-85e5-3a997cab2458" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7933796917294448081 leastSigBits: -8798561866102397864 } } datanode { uuid: "9b73926f-7f6a-430e-99ee-3e19351b7af7" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b73926f-7f6a-430e-99ee-3e19351b7af7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7245286367932300530 leastSigBits: -7354872863463343369 } } datanode { uuid: "9f5f2d50-14b0-4b24-9d80-196555175e5b" ipAddress: "172.18.0.3" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9f5f2d50-14b0-4b24-9d80-196555175e5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6962796676923765980 leastSigBits: -7097645089725915557 } } cmdId: 1692338318052 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
