2024-04-23 06:05:14,982 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=57214d04-5d91-4715-b325-5a505aba3ef8, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:19,238 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=d712f40e-7aab-4596-b1e5-6a455495d076, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:19,335 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=d712f40e-7aab-4596-b1e5-6a455495d076, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:19,746 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6934fcca-a7bf-4acf-892c-087e9c03b8bc, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:20,086 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=57214d04-5d91-4715-b325-5a505aba3ef8, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:21,556 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=9588ad7f-3a78-406b-9a54-78b83ab49083, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-23 06:05:22,760 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=d712f40e-7aab-4596-b1e5-6a455495d076, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:22,821 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6934fcca-a7bf-4acf-892c-087e9c03b8bc, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:22,826 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=57214d04-5d91-4715-b325-5a505aba3ef8, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:28,299 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=9588ad7f-3a78-406b-9a54-78b83ab49083, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-04-23 06:05:29,556 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=57214d04-5d91-4715-b325-5a505aba3ef8, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:35,165 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=9588ad7f-3a78-406b-9a54-78b83ab49083, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-23 06:05:51,671 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=9588ad7f-3a78-406b-9a54-78b83ab49083, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-23 06:05:52,764 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=d712f40e-7aab-4596-b1e5-6a455495d076, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:52,824 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6934fcca-a7bf-4acf-892c-087e9c03b8bc, command=[]} | ret=SUCCESS |  
2024-04-23 06:05:55,881 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=9588ad7f-3a78-406b-9a54-78b83ab49083, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-23 06:05:59,555 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=57214d04-5d91-4715-b325-5a505aba3ef8, command=[]} | ret=SUCCESS |  
2024-04-23 06:06:22,759 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=d712f40e-7aab-4596-b1e5-6a455495d076, command=[]} | ret=SUCCESS |  
2024-04-23 06:06:22,827 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6934fcca-a7bf-4acf-892c-087e9c03b8bc, command=[]} | ret=SUCCESS |  
