2026-04-29 07:37:44,718 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-29 07:37:45,595 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-29 07:37:45,760 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-29 07:37:45,911 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-29 07:37:45,992 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"07898ae5-b326-4869-b0b8-e003684d481a(dn1/10.9.0.11)"} | ret=SUCCESS |  
2026-04-29 07:37:46,048 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-29 07:37:46,470 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-04-29 07:37:46,472 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-04-29 07:37:46,724 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-04-29 07:37:46,762 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-29 07:37:47,049 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"8f857ec4-712b-4a45-99b8-ceb535f7c6f6(dn3/10.9.0.13)"} | ret=SUCCESS |  
2026-04-29 07:37:47,766 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-29 07:37:47,962 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"07898ae5-b326-4869-b0b8-e003684d481a","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:48,167 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"a4d91ba1-3b37-486e-9992-89c45ed8f103(dn2/10.9.0.12)"} | ret=SUCCESS |  
2026-04-29 07:37:48,769 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-29 07:37:48,915 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"8f857ec4-712b-4a45-99b8-ceb535f7c6f6","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:50,337 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"a4d91ba1-3b37-486e-9992-89c45ed8f103","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:51,273 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"07898ae5-b326-4869-b0b8-e003684d481a","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:52,259 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"a4d91ba1-3b37-486e-9992-89c45ed8f103","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:52,271 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"8f857ec4-712b-4a45-99b8-ceb535f7c6f6","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:52,945 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"a4d91ba1-3b37-486e-9992-89c45ed8f103","term":"3","command":"[]"} | ret=SUCCESS |  
2026-04-29 07:37:52,964 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"07898ae5-b326-4869-b0b8-e003684d481a","term":"3","command":"[]"} | ret=SUCCESS |  
