2025-10-14 16:14:23,161 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,161 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,163 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95783","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191572"} | ret=SUCCESS |  
2025-10-14 16:14:23,163 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95777","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191573"} | ret=SUCCESS |  
2025-10-14 16:14:23,164 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95778","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191574"} | ret=SUCCESS |  
2025-10-14 16:14:23,164 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95785","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191575"} | ret=SUCCESS |  
2025-10-14 16:14:23,164 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95770","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191576"} | ret=SUCCESS |  
2025-10-14 16:14:23,165 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,165 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,166 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,167 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95780","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191577"} | ret=SUCCESS |  
2025-10-14 16:14:23,167 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95781","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191578"} | ret=SUCCESS |  
2025-10-14 16:14:23,167 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95786","dataSize":"268435456","replicationType":"NONE","Transaction":"191579"} | ret=SUCCESS |  
2025-10-14 16:14:23,168 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95774","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191580"} | ret=SUCCESS |  
2025-10-14 16:14:23,168 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95788","dataSize":"268435456","replicationType":"NONE","Transaction":"191581"} | ret=SUCCESS |  
2025-10-14 16:14:23,169 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95792","dataSize":"268435456","replicationType":"NONE","Transaction":"191582"} | ret=SUCCESS |  
2025-10-14 16:14:23,169 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95787","dataSize":"268435456","replicationType":"NONE","Transaction":"191583"} | ret=SUCCESS |  
2025-10-14 16:14:23,169 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95790","dataSize":"268435456","replicationType":"NONE","Transaction":"191584"} | ret=SUCCESS |  
2025-10-14 16:14:23,169 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,169 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,170 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,170 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,171 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95793","dataSize":"268435456","replicationType":"NONE","Transaction":"191585"} | ret=SUCCESS |  
2025-10-14 16:14:23,172 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95782","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191586"} | ret=SUCCESS |  
2025-10-14 16:14:23,172 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95784","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"191587"} | ret=SUCCESS |  
2025-10-14 16:14:23,172 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95789","dataSize":"268435456","replicationType":"NONE","Transaction":"191588"} | ret=SUCCESS |  
2025-10-14 16:14:23,173 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,174 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95791","dataSize":"268435456","replicationType":"NONE","Transaction":"191589"} | ret=SUCCESS |  
2025-10-14 16:14:23,174 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"zdkoi0amrg/95794","dataSize":"268435456","replicationType":"NONE","Transaction":"191590"} | ret=SUCCESS |  
2025-10-14 16:14:23,175 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,175 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2025-10-14 16:14:23,178 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
