2023-05-18 03:26:41,783 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:44,969 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:45,190 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:46,157 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0ed2de13-b784-4e5d-bae2-03ae1dd074e4, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:46,943 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:53,067 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=b8137a03-0eed-4bed-b805-ed99ed41e3ed, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 03:26:55,301 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:55,454 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0ed2de13-b784-4e5d-bae2-03ae1dd074e4, command=[]} | ret=SUCCESS |  
2023-05-18 03:26:55,660 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:03,368 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=b8137a03-0eed-4bed-b805-ed99ed41e3ed, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-05-18 03:27:05,504 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:13,749 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=b8137a03-0eed-4bed-b805-ed99ed41e3ed, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 03:27:25,461 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0ed2de13-b784-4e5d-bae2-03ae1dd074e4, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:25,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:35,489 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:46,268 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=b8137a03-0eed-4bed-b805-ed99ed41e3ed, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 03:27:52,718 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=b8137a03-0eed-4bed-b805-ed99ed41e3ed, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 03:27:55,458 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0ed2de13-b784-4e5d-bae2-03ae1dd074e4, command=[]} | ret=SUCCESS |  
2023-05-18 03:27:55,654 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:28:05,499 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
2023-05-18 03:28:25,462 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0ed2de13-b784-4e5d-bae2-03ae1dd074e4, command=[]} | ret=SUCCESS |  
2023-05-18 03:28:25,657 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=30c89b94-d140-4cd4-82fe-196c7e7e98aa, command=[]} | ret=SUCCESS |  
2023-05-18 03:28:35,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=901fa4b4-d836-4c58-9d84-b249f0df8810, command=[]} | ret=SUCCESS |  
