2023-05-09 17:17:45,563 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=80085e9a-d157-4703-aefc-7bf233e90257, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "38c527ce-069d-4987-8d29-e3bff50c97de" uuid128 { mostSigBits: 4090719602363681159 leastSigBits: -8274832426727073826 } } type: RATIS factor: ONE datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } cmdId: 1683652663508 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "68cbbb58-fcba-4773-ad0d-55b0ff341100" uuid128 { mostSigBits: 7551335191088351091 leastSigBits: -5977026911766572800 } } type: RATIS factor: THREE datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663509 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5210dbe9-fe84-48d9-9a4f-c3b018a4f9b0" uuid128 { mostSigBits: 5913468108781406425 leastSigBits: -7327422907613382224 } } type: RATIS factor: THREE datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663511 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-05-09 17:17:45,711 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0b009e13-400c-46f2-9195-3e63987f4262, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "68cbbb58-fcba-4773-ad0d-55b0ff341100" uuid128 { mostSigBits: 7551335191088351091 leastSigBits: -5977026911766572800 } } type: RATIS factor: THREE datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663509 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5210dbe9-fe84-48d9-9a4f-c3b018a4f9b0" uuid128 { mostSigBits: 5913468108781406425 leastSigBits: -7327422907613382224 } } type: RATIS factor: THREE datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663511 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "9c6ab948-e1a6-4029-8056-8bb7f091781c" uuid128 { mostSigBits: -7175719333586911191 leastSigBits: -9199011566726318052 } } type: RATIS factor: ONE datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } cmdId: 1683652663512 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-05-09 17:17:46,368 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2aababe1-5de1-4141-9722-ebce6b31b983, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "68cbbb58-fcba-4773-ad0d-55b0ff341100" uuid128 { mostSigBits: 7551335191088351091 leastSigBits: -5977026911766572800 } } type: RATIS factor: THREE datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663509 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "25f16d12-2879-4577-8001-0a701a7f64f7" uuid128 { mostSigBits: 2734086373546476919 leastSigBits: -9223079085280893705 } } type: RATIS factor: ONE datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663510 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5210dbe9-fe84-48d9-9a4f-c3b018a4f9b0" uuid128 { mostSigBits: 5913468108781406425 leastSigBits: -7327422907613382224 } } type: RATIS factor: THREE datanode { uuid: "80085e9a-d157-4703-aefc-7bf233e90257" ipAddress: "172.19.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "80085e9a-d157-4703-aefc-7bf233e90257" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9221016218010958077 leastSigBits: -5837654736795794857 } } datanode { uuid: "0b009e13-400c-46f2-9195-3e63987f4262" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b009e13-400c-46f2-9195-3e63987f4262" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 792807339933320946 leastSigBits: -7956384569198951838 } } datanode { uuid: "2aababe1-5de1-4141-9722-ebce6b31b983" ipAddress: "172.19.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2aababe1-5de1-4141-9722-ebce6b31b983" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3074740155041530177 leastSigBits: -7556217952980059773 } } cmdId: 1683652663511 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-05-09 17:17:46,543 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=80085e9a-d157-4703-aefc-7bf233e90257, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:47,436 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=80085e9a-d157-4703-aefc-7bf233e90257, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:48,095 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0b009e13-400c-46f2-9195-3e63987f4262, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:48,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2aababe1-5de1-4141-9722-ebce6b31b983, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:52,284 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=80085e9a-d157-4703-aefc-7bf233e90257, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:53,023 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2aababe1-5de1-4141-9722-ebce6b31b983, term=2, command=[]} | ret=SUCCESS |  
2023-05-09 17:17:53,179 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=80085e9a-d157-4703-aefc-7bf233e90257, term=2, command=[]} | ret=SUCCESS |  
