2022-06-16 01:27:40,624 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:44,149 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:44,188 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:44,885 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1d1ba8bd-512e-4327-a3e0-36b7e6519f67, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:45,777 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:49,546 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=6c2ea9de-b8a0-4577-b501-6a8c9ba2e751, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-16 01:27:51,497 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:51,534 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1d1ba8bd-512e-4327-a3e0-36b7e6519f67, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:51,594 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:27:58,330 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=6c2ea9de-b8a0-4577-b501-6a8c9ba2e751, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2022-06-16 01:27:59,931 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:06,729 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=6c2ea9de-b8a0-4577-b501-6a8c9ba2e751, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-16 01:28:21,478 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:21,498 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1d1ba8bd-512e-4327-a3e0-36b7e6519f67, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:29,932 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:33,015 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=6c2ea9de-b8a0-4577-b501-6a8c9ba2e751, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-16 01:28:38,412 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=6c2ea9de-b8a0-4577-b501-6a8c9ba2e751, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-16 01:28:51,482 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:51,498 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1d1ba8bd-512e-4327-a3e0-36b7e6519f67, command=[]} | ret=SUCCESS |  
2022-06-16 01:28:59,931 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=94e26fca-2c0c-4d66-a144-e09e69189fbf, command=[]} | ret=SUCCESS |  
2022-06-16 01:29:21,480 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=d499c059-5ac6-47fa-ab73-da20104d26fc, command=[]} | ret=SUCCESS |  
2022-06-16 01:29:21,493 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1d1ba8bd-512e-4327-a3e0-36b7e6519f67, command=[]} | ret=SUCCESS |  
