2024-07-30 01:56:27,922 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:28,061 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.19.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-07-30 01:56:29,113 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:30,116 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:31,119 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:32,122 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:33,127 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:34,130 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:35,133 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:36,136 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:37,139 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:38,142 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:39,145 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:39,654 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.19.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-07-30 01:56:40,148 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:40,923 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2024-07-30 01:56:41,052 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-07-30 01:56:41,153 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:41,188 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-07-30 01:56:42,155 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:42,968 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.2 | op=REGISTER {datanodeDetails=042d96bf-1fad-4171-89ef-ba482e6e84cc(dn/172.19.0.2)} | ret=SUCCESS |  
2024-07-30 01:56:43,158 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-07-30 01:56:43,173 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.10 | op=REGISTER {datanodeDetails=4a48afca-31bb-4d6f-93d7-7a63480b81cc(dn/172.19.0.10)} | ret=SUCCESS |  
2024-07-30 01:56:43,317 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.11 | op=REGISTER {datanodeDetails=f4565cbf-5a88-400c-a5ef-7a1eb076f1e2(dn/172.19.0.11)} | ret=SUCCESS |  
