2023-03-09 16:35:14,463 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2023-03-09 17:04:59,084 OK[op=GET_METADATA, key=key1, user=om] 
2023-03-09 17:04:59,583 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=0ms] 
2023-03-09 17:05:09,787 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=10205ms] 
2023-03-09 17:05:14,339 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:05:20,784 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=21202ms] 
2023-03-09 17:05:24,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10445ms] 
2023-03-09 17:39:38,037 OK[op=GET_METADATA, key=key1, user=om] 
2023-03-09 17:40:07,270 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:40:17,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10514ms] 
2023-03-09 17:40:41,706 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:40:51,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=13, interval=10079ms] 
2023-03-09 17:44:18,015 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:44:28,043 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10028ms] 
2023-03-09 17:44:28,049 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=6ms] 
2023-03-09 17:44:38,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=4, interval=20769ms] 
2023-03-09 17:44:48,928 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=30913ms] 
2023-03-09 17:44:48,929 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:44:59,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=41769ms] 
2023-03-09 17:45:10,569 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=52554ms] 
2023-03-09 17:45:10,570 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:45:20,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=6, interval=62769ms] 
2023-03-09 17:45:31,126 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=6, interval=73111ms] 
2023-03-09 17:45:31,126 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:45:41,269 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=4, interval=83254ms] 
2023-03-09 17:45:41,269 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:45:51,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=93769ms] 
2023-03-09 17:46:21,534 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:46:31,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10250ms] 
2023-03-09 17:47:00,219 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:47:10,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10565ms] 
2023-03-09 17:47:21,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=21565ms] 
2023-03-09 17:47:46,421 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:47:56,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10363ms] 
2023-03-09 17:48:18,002 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:48:28,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10782ms] 
2023-03-09 17:48:50,667 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2023-03-09 17:49:00,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=10117ms] 
2023-03-09 17:49:11,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=21117ms] 
2023-03-09 17:49:22,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=32117ms] 
2023-03-09 17:49:33,784 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=43117ms] 
