2023-08-24 06:29:06,992 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:10,691 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:10,753 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:11,484 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=89caeefb-004d-4b1a-a348-a0d26834b83e, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:12,074 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:15,362 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2a5d10b8-50fe-4456-964d-f56bf67e764b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-24 06:29:17,745 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f2d2b038-4753-4107-9fc5-b4fe63e756b6, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:18,017 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:18,139 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=89caeefb-004d-4b1a-a348-a0d26834b83e, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:26,631 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2a5d10b8-50fe-4456-964d-f56bf67e764b, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-08-24 06:29:28,698 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4bad2ac6-30dd-4ea1-a053-7bdd433ee10c, command=[]} | ret=SUCCESS |  
2023-08-24 06:29:37,403 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=2a5d10b8-50fe-4456-964d-f56bf67e764b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
