2022-07-31 01:31:16,776 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:19,698 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:19,963 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:20,978 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:22,034 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:25,164 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=00f73ee2-ff84-4002-8b87-806d8dc0a418, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-31 01:31:27,097 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=33f7edea-1d24-4f1b-918a-799c46a4e48b, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:27,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2b78f5e4-1a96-428c-b6d0-dd05be810423, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:27,315 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:34,292 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=00f73ee2-ff84-4002-8b87-806d8dc0a418, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2022-07-31 01:31:36,040 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b3e7cc5f-95a9-4e99-aa22-9bb19553e4f1, command=[]} | ret=SUCCESS |  
2022-07-31 01:31:43,712 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=00f73ee2-ff84-4002-8b87-806d8dc0a418, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
