2026-07-26 03:41:39,718 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"05625a1e-cd57-4861-b282-8cde5f240c83","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"09cd630c-88b9-4aa7-8920-adcd2b832d56\" uuid128 { mostSigBits: 706329622051637927 leastSigBits: -8565655394548765354 } } type: RATIS factor: THREE datanode { uuid: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" ipAddress: \"172.18.0.9\" hostName: \"ozone-balancer-datanode4-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } level: 3 id { uuid { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } } } datanode { uuid: \"05625a1e-cd57-4861-b282-8cde5f240c83\" ipAddress: \"172.18.0.5\" hostName: \"ozone-balancer-datanode6-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"05625a1e-cd57-4861-b282-8cde5f240c83\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } level: 3 id { uuid { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } } } datanode { uuid: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" ipAddress: \"172.18.0.7\" hostName: \"ozone-balancer-datanode1-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } level: 3 id { uuid { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } } } cmdId: 1785037298875 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-07-26 03:41:40,154 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:40,155 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"09cd630c-88b9-4aa7-8920-adcd2b832d56\" uuid128 { mostSigBits: 706329622051637927 leastSigBits: -8565655394548765354 } } type: RATIS factor: THREE datanode { uuid: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" ipAddress: \"172.18.0.9\" hostName: \"ozone-balancer-datanode4-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } level: 3 id { uuid { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } } } datanode { uuid: \"05625a1e-cd57-4861-b282-8cde5f240c83\" ipAddress: \"172.18.0.5\" hostName: \"ozone-balancer-datanode6-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"05625a1e-cd57-4861-b282-8cde5f240c83\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } level: 3 id { uuid { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } } } datanode { uuid: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" ipAddress: \"172.18.0.7\" hostName: \"ozone-balancer-datanode1-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } level: 3 id { uuid { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } } } cmdId: 1785037298875 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-07-26 03:41:40,859 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"dbe27f8e-e764-4e47-8e6f-526db192a258","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"09cd630c-88b9-4aa7-8920-adcd2b832d56\" uuid128 { mostSigBits: 706329622051637927 leastSigBits: -8565655394548765354 } } type: RATIS factor: THREE datanode { uuid: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" ipAddress: \"172.18.0.9\" hostName: \"ozone-balancer-datanode4-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } level: 3 id { uuid { mostSigBits: 5977926294373748407 leastSigBits: -5241149927917679430 } } } datanode { uuid: \"05625a1e-cd57-4861-b282-8cde5f240c83\" ipAddress: \"172.18.0.5\" hostName: \"ozone-balancer-datanode6-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"05625a1e-cd57-4861-b282-8cde5f240c83\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } level: 3 id { uuid { mostSigBits: 387971606247852129 leastSigBits: -5583745701279167357 } } } datanode { uuid: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" ipAddress: \"172.18.0.7\" hostName: \"ozone-balancer-datanode1-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"dbe27f8e-e764-4e47-8e6f-526db192a258\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 3 uuid128 { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } level: 3 id { uuid { mostSigBits: -2602377382922531257 leastSigBits: -8183231366824811944 } } } cmdId: 1785037298875 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-07-26 03:41:41,026 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"31549472-b5a5-476c-ad5b-82d0b88b38cf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:41:41,157 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:42,160 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:43,163 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:44,171 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:45,176 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:46,179 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:47,182 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:48,186 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:48,916 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-07-26 03:41:49,188 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:49,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=ADD_SCM {"cluster":"CID-b0a6d48e-a535-4752-b207-39ec9f5433f8","scmId":"942f11f9-94d4-4d89-bec3-cb9b3e4c2534","addr":"scm2:9894"} | ret=SUCCESS |  
2026-07-26 03:41:50,192 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:51,195 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:52,197 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:53,200 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:54,203 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:55,205 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:56,235 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:57,239 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:58,243 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:59,253 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:59,682 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"05625a1e-cd57-4861-b282-8cde5f240c83","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:00,119 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=ADD_SCM {"cluster":"CID-b0a6d48e-a535-4752-b207-39ec9f5433f8","scmId":"4abe2721-6d79-4357-93fe-ff0b234b0d0f","addr":"scm3:9894"} | ret=SUCCESS |  
2026-07-26 03:42:00,222 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:00,257 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:42:00,660 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"05625a1e-cd57-4861-b282-8cde5f240c83","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:00,676 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:00,694 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"31549472-b5a5-476c-ad5b-82d0b88b38cf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:00,706 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"dbe27f8e-e764-4e47-8e6f-526db192a258","term":"2","command":"[]"} | ret=SUCCESS |  
2026-07-26 03:42:01,366 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
