2023-03-29 08:55:49,530 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
2023-03-29 08:55:53,360 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:55:53,458 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:55:54,215 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aedfe9b8-dd22-4643-94ef-e03a36d77e5f, command=[]} | ret=SUCCESS |  
2023-03-29 08:55:54,700 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
2023-03-29 08:55:59,273 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=f93a597e-db20-4976-b192-d0477c2923b2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-29 08:56:00,922 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:01,108 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aedfe9b8-dd22-4643-94ef-e03a36d77e5f, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:01,160 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:08,048 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=f93a597e-db20-4976-b192-d0477c2923b2, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-03-29 08:56:09,697 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aedfe9b8-dd22-4643-94ef-e03a36d77e5f, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:16,655 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=f93a597e-db20-4976-b192-d0477c2923b2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-29 08:56:30,913 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:31,167 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:39,704 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aedfe9b8-dd22-4643-94ef-e03a36d77e5f, command=[]} | ret=SUCCESS |  
2023-03-29 08:56:42,442 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=f93a597e-db20-4976-b192-d0477c2923b2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-29 08:56:47,775 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=f93a597e-db20-4976-b192-d0477c2923b2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-29 08:57:00,917 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:57:01,156 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
2023-03-29 08:57:09,702 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aedfe9b8-dd22-4643-94ef-e03a36d77e5f, command=[]} | ret=SUCCESS |  
2023-03-29 08:57:30,909 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=506e6184-5f03-460f-950e-362e6f5ce2a6, command=[]} | ret=SUCCESS |  
2023-03-29 08:57:31,159 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=266553d4-53f6-4d67-923c-9ef03c4afd3e, command=[]} | ret=SUCCESS |  
