2026-08-09 00:00:02,969 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"a7ea6004-66db-4b5b-8788-862045e03faf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,023 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"98d24ebd-7121-457b-9aff-934dc7f17fa8","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,272 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"0922cf5b-256f-4439-8dfe-fdda1038b619","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,369 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=SEND_HEARTBEAT {"datanodeUUID":"c4b188be-88cb-47fe-912c-c9dd0ae4e33b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,551 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"717532cd-d283-42d8-ba7c-c0e304d85e84","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,558 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"fa8cfcb8-16cc-4645-af97-31940181c0bf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,565 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"6bb6a4e3-7609-4a55-bee3-e44cd5f5c433","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,718 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"b4105046-fba9-475f-ad31-c4ef2aff7917","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:03,832 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"f843a799-5266-4f27-8717-fa709a4d6ccb","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-09 00:00:06,378 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_BLOCK {"replication":"EC{rs-6-3-1024k}","owner":"omServiceIdDefault","size":"1048576","sampleBlocks":"[conID: 3 locID: 117883640217603841, conID: 3 locID: 117883640217603842]","num":"2","client":"","allocated":"2"} | ret=SUCCESS |  
2026-08-09 00:00:07,968 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {"datanodeUUID":"a7ea6004-66db-4b5b-8788-862045e03faf","term":"2","command":"[]"} | ret=SUCCESS |  
