2026-07-10 12:09:32,141 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:32,140 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:32,139 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:32,143 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:32,143 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:32,144 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-10 12:09:34,057 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"37990ae2-6a06-4624-b016-7932c5ba35e5(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.12)"} | ret=SUCCESS |  
2026-07-10 12:09:34,380 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"21c73a23-8d84-42fc-9ea0-2eee7e50a996(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.5)"} | ret=SUCCESS |  
2026-07-10 12:09:34,976 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"6e65fd3c-16f0-4b57-8967-7822cbcefa5c(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.9)"} | ret=SUCCESS |  
2026-07-10 12:09:35,548 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"32b68b46-db06-4e6e-9f1a-11db2ed41c9b(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.6)"} | ret=SUCCESS |  
2026-07-10 12:09:53,417 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"32b68b46-db06-4e6e-9f1a-11db2ed41c9b","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:09:53,417 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"21c73a23-8d84-42fc-9ea0-2eee7e50a996","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:09:53,418 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"6e65fd3c-16f0-4b57-8967-7822cbcefa5c","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:09:53,474 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"37990ae2-6a06-4624-b016-7932c5ba35e5","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:10:13,386 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"21c73a23-8d84-42fc-9ea0-2eee7e50a996","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:10:13,411 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"6e65fd3c-16f0-4b57-8967-7822cbcefa5c","command":"[]"} | ret=SUCCESS |  
2026-07-10 12:10:13,420 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"32b68b46-db06-4e6e-9f1a-11db2ed41c9b","command":"[]"} | ret=SUCCESS |  
