2023-09-28 10:19:47,968 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:51,599 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2ac34c7c-3964-4b9d-a608-042d6c23b5c1, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:51,829 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2ac34c7c-3964-4b9d-a608-042d6c23b5c1, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:52,460 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=480dc878-ac93-4681-9390-5a13f73cf55b, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:53,169 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:55,512 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c9a2c6c5-3814-4ed3-8198-07064ebb6caf, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 10:19:57,343 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2ac34c7c-3964-4b9d-a608-042d6c23b5c1, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:57,399 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
2023-09-28 10:19:57,402 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=480dc878-ac93-4681-9390-5a13f73cf55b, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:04,938 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c9a2c6c5-3814-4ed3-8198-07064ebb6caf, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-28 10:20:06,835 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:13,927 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c9a2c6c5-3814-4ed3-8198-07064ebb6caf, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 10:20:27,336 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2ac34c7c-3964-4b9d-a608-042d6c23b5c1, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:27,403 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=480dc878-ac93-4681-9390-5a13f73cf55b, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:35,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c9a2c6c5-3814-4ed3-8198-07064ebb6caf, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 10:20:36,855 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:41,115 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=c9a2c6c5-3814-4ed3-8198-07064ebb6caf, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 10:20:57,329 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2ac34c7c-3964-4b9d-a608-042d6c23b5c1, command=[]} | ret=SUCCESS |  
2023-09-28 10:20:57,408 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=480dc878-ac93-4681-9390-5a13f73cf55b, command=[]} | ret=SUCCESS |  
2023-09-28 10:21:06,838 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=8b7f437e-726f-48ea-be83-290c2ade6568, command=[]} | ret=SUCCESS |  
