2023-05-31 01:21:16,855 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:20,820 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:21,086 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5cee33de-eb9b-458d-8053-44b9d8a00445, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:21,302 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:21,987 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:24,848 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=b2c7d336-0d61-46e6-8fa2-5cf6916032b6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-31 01:21:26,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:26,735 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5cee33de-eb9b-458d-8053-44b9d8a00445, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:26,735 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:33,941 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=b2c7d336-0d61-46e6-8fa2-5cf6916032b6, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-05-31 01:21:35,681 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:42,912 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=b2c7d336-0d61-46e6-8fa2-5cf6916032b6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-31 01:21:56,737 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:21:56,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5cee33de-eb9b-458d-8053-44b9d8a00445, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:05,699 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:08,900 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=b2c7d336-0d61-46e6-8fa2-5cf6916032b6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-31 01:22:14,230 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=b2c7d336-0d61-46e6-8fa2-5cf6916032b6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-31 01:22:26,728 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5cee33de-eb9b-458d-8053-44b9d8a00445, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:26,792 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:35,685 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=6ccdaa9a-c2f5-47be-9898-352bc2f22739, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:56,737 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aa0ecac-cce7-461a-a0a8-22cc88d9ac67, command=[]} | ret=SUCCESS |  
2023-05-31 01:22:56,748 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5cee33de-eb9b-458d-8053-44b9d8a00445, command=[]} | ret=SUCCESS |  
