2023-05-31 01:30:25,363 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:26,129 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=voljj0mt, creationTime=1685496625977, modificationTime=1685496625977, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-05-31 01:30:31,137 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:31,691 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=READ_VOLUME {volume=voljj0mt} | ret=SUCCESS |  
2023-05-31 01:30:31,867 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=CREATE_BUCKET {volume=voljj0mt, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1685496631822, bucketEncryptionKey=null, modificationTime=1685496631822, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-05-31 01:30:37,223 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:37,785 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=READ_VOLUME {volume=voljj0mt} | ret=SUCCESS |  
2023-05-31 01:30:37,887 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=CREATE_BUCKET {volume=voljj0mt, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1685496637874, bucketEncryptionKey=null, modificationTime=1685496637874, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-05-31 01:30:42,104 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:42,494 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=READ_VOLUME {volume=voljj0mt} | ret=SUCCESS |  
2023-05-31 01:30:42,625 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=CREATE_BUCKET {volume=voljj0mt, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1685496642619, bucketEncryptionKey=null, modificationTime=1685496642619, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-05-31 01:30:44,325 | INFO  | OMAudit | user=hadoop | ip=172.23.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:48,671 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-05-31 01:30:49,116 | INFO  | OMAudit | user=hadoop | ip=172.23.0.4 | op=READ_VOLUME {volume=voljj0mt} | ret=SUCCESS |  
