2024-01-17 09:52:48,119 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:48,225 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:48,420 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=60d7b41c-90af-4114-9a88-15be2952e0c4, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c9137711-b155-469c-8824-8b4dffbc750c" uuid128 { mostSigBits: -3957688729655228772 leastSigBits: -8636625018270485236 } } type: RATIS factor: THREE datanode { uuid: "60d7b41c-90af-4114-9a88-15be2952e0c4" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "60d7b41c-90af-4114-9a88-15be2952e0c4" networkLocation: "/default-rack" uuid128 { mostSigBits: 6978244182413361428 leastSigBits: -7311570088554733372 } } datanode { uuid: "a683f3a3-c2e4-4fcd-82c2-98ebea0d5818" ipAddress: "172.20.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "a683f3a3-c2e4-4fcd-82c2-98ebea0d5818" networkLocation: "/default-rack" uuid128 { mostSigBits: -6448042356789456947 leastSigBits: -9024482564285573096 } } datanode { uuid: "759d29d2-c219-4ff6-af80-c10587f592e7" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "759d29d2-c219-4ff6-af80-c10587f592e7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8474976058957451254 leastSigBits: -5800424090553183513 } } cmdId: 1705485108184 } ]} | ret=SUCCESS |  
2024-01-17 09:52:53,011 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=759d29d2-c219-4ff6-af80-c10587f592e7, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:53,113 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=759d29d2-c219-4ff6-af80-c10587f592e7, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:53,212 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:55,762 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=e170f74f-2eeb-46ee-ab14-739550fc85be, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-17 09:52:56,974 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=759d29d2-c219-4ff6-af80-c10587f592e7, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:57,062 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=a683f3a3-c2e4-4fcd-82c2-98ebea0d5818, command=[]} | ret=SUCCESS |  
2024-01-17 09:52:57,081 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=60d7b41c-90af-4114-9a88-15be2952e0c4, command=[]} | ret=SUCCESS |  
