2024-04-06 20:59:20,989 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/22]} | ret=SUCCESS | perf={metaLatencyMs=28, sizeByte=10240, opLatencyMs=455} |  
2024-04-06 20:59:21,023 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/23]} | ret=SUCCESS | perf={metaLatencyMs=85, sizeByte=10240, opLatencyMs=417} |  
2024-04-06 20:59:21,074 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/24]} | ret=SUCCESS | perf={metaLatencyMs=59, sizeByte=10240, opLatencyMs=417} |  
2024-04-06 20:59:21,093 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/25]} | ret=SUCCESS | perf={metaLatencyMs=105, sizeByte=10240, opLatencyMs=407} |  
2024-04-06 20:59:21,118 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/26]} | ret=SUCCESS | perf={metaLatencyMs=50, sizeByte=10240, opLatencyMs=375} |  
2024-04-06 20:59:21,204 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/28]} | ret=SUCCESS | perf={metaLatencyMs=41, sizeByte=10240, opLatencyMs=361} |  
2024-04-06 20:59:21,212 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/27]} | ret=SUCCESS | perf={metaLatencyMs=38, sizeByte=10240, opLatencyMs=432} |  
2024-04-06 20:59:21,289 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/31]} | ret=SUCCESS | perf={metaLatencyMs=78, sizeByte=10240, opLatencyMs=342} |  
2024-04-06 20:59:21,330 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/30]} | ret=SUCCESS | perf={metaLatencyMs=89, sizeByte=10240, opLatencyMs=388} |  
2024-04-06 20:59:21,342 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/32]} | ret=SUCCESS | perf={metaLatencyMs=37, sizeByte=10240, opLatencyMs=326} |  
2024-04-06 20:59:21,355 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/29]} | ret=SUCCESS | perf={metaLatencyMs=95, sizeByte=10240, opLatencyMs=424} |  
2024-04-06 20:59:21,373 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/33]} | ret=SUCCESS | perf={metaLatencyMs=47, sizeByte=10240, opLatencyMs=329} |  
2024-04-06 20:59:21,420 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/34]} | ret=SUCCESS | perf={metaLatencyMs=46, sizeByte=10240, opLatencyMs=319} |  
2024-04-06 20:59:21,479 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/35]} | ret=SUCCESS | perf={metaLatencyMs=65, sizeByte=10240, opLatencyMs=351} |  
2024-04-06 20:59:21,498 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/36]} | ret=SUCCESS | perf={metaLatencyMs=33, sizeByte=10240, opLatencyMs=350} |  
2024-04-06 20:59:21,503 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/37]} | ret=SUCCESS | perf={metaLatencyMs=69, sizeByte=10240, opLatencyMs=275} |  
2024-04-06 20:59:21,617 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/38]} | ret=SUCCESS | perf={metaLatencyMs=63, sizeByte=10240, opLatencyMs=385} |  
2024-04-06 20:59:21,656 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/39]} | ret=SUCCESS | perf={metaLatencyMs=95, sizeByte=10240, opLatencyMs=271} |  
2024-04-06 20:59:21,732 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/40]} | ret=SUCCESS | perf={metaLatencyMs=79, sizeByte=10240, opLatencyMs=312} |  
2024-04-06 20:59:21,759 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/41]} | ret=SUCCESS | perf={metaLatencyMs=108, sizeByte=10240, opLatencyMs=370} |  
2024-04-06 20:59:21,801 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/44]} | ret=SUCCESS | perf={metaLatencyMs=113, sizeByte=10240, opLatencyMs=301} |  
2024-04-06 20:59:21,837 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/43]} | ret=SUCCESS | perf={metaLatencyMs=98, sizeByte=10240, opLatencyMs=333} |  
2024-04-06 20:59:21,849 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/46]} | ret=SUCCESS | perf={metaLatencyMs=104, sizeByte=10240, opLatencyMs=336} |  
2024-04-06 20:59:21,958 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/45]} | ret=SUCCESS | perf={metaLatencyMs=71, sizeByte=10240, opLatencyMs=438} |  
2024-04-06 20:59:21,983 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/42]} | ret=SUCCESS | perf={metaLatencyMs=92, sizeByte=10240, opLatencyMs=470} |  
2024-04-06 20:59:21,998 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/48]} | ret=SUCCESS | perf={metaLatencyMs=122, sizeByte=10240, opLatencyMs=355} |  
2024-04-06 20:59:22,074 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/47]} | ret=SUCCESS | perf={metaLatencyMs=140, sizeByte=10240, opLatencyMs=418} |  
2024-04-06 20:59:22,108 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/49]} | ret=SUCCESS | perf={metaLatencyMs=114, sizeByte=10240, opLatencyMs=419} |  
2024-04-06 20:59:22,169 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/53]} | ret=SUCCESS | perf={metaLatencyMs=71, sizeByte=10240, opLatencyMs=311} |  
2024-04-06 20:59:22,174 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/50]} | ret=SUCCESS | perf={metaLatencyMs=74, sizeByte=10240, opLatencyMs=413} |  
2024-04-06 20:59:22,211 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/54]} | ret=SUCCESS | perf={metaLatencyMs=58, sizeByte=10240, opLatencyMs=318} |  
2024-04-06 20:59:22,222 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/51]} | ret=SUCCESS | perf={metaLatencyMs=106, sizeByte=10240, opLatencyMs=446} |  
2024-04-06 20:59:22,249 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/55]} | ret=SUCCESS | perf={metaLatencyMs=62, sizeByte=10240, opLatencyMs=267} |  
2024-04-06 20:59:22,262 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/52]} | ret=SUCCESS | perf={metaLatencyMs=79, sizeByte=10240, opLatencyMs=417} |  
