2023-11-28 20:08:03,025 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f439f4e0-0003-4df6-9039-78287d419ff1, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:07,651 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=27cceaa4-7f37-493c-8e60-3da754c904c6, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:07,689 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=27cceaa4-7f37-493c-8e60-3da754c904c6, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:08,058 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f439f4e0-0003-4df6-9039-78287d419ff1, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:08,138 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=4a943f19-2d32-4ff3-8a1a-6a6ee9a4714b, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:10,387 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=35df12a4-391d-463f-bf58-f96a0589258f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-28 20:08:11,548 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=27cceaa4-7f37-493c-8e60-3da754c904c6, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:11,595 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=4a943f19-2d32-4ff3-8a1a-6a6ee9a4714b, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:11,595 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f439f4e0-0003-4df6-9039-78287d419ff1, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:16,601 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=35df12a4-391d-463f-bf58-f96a0589258f, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-11-28 20:08:17,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=4a943f19-2d32-4ff3-8a1a-6a6ee9a4714b, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:23,474 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=35df12a4-391d-463f-bf58-f96a0589258f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-28 20:08:41,551 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=27cceaa4-7f37-493c-8e60-3da754c904c6, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:41,596 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f439f4e0-0003-4df6-9039-78287d419ff1, command=[]} | ret=SUCCESS |  
2023-11-28 20:08:41,783 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=35df12a4-391d-463f-bf58-f96a0589258f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-28 20:08:45,982 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=35df12a4-391d-463f-bf58-f96a0589258f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-28 20:08:47,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=4a943f19-2d32-4ff3-8a1a-6a6ee9a4714b, command=[]} | ret=SUCCESS |  
2023-11-28 20:09:11,556 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=27cceaa4-7f37-493c-8e60-3da754c904c6, command=[]} | ret=SUCCESS |  
2023-11-28 20:09:11,594 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f439f4e0-0003-4df6-9039-78287d419ff1, command=[]} | ret=SUCCESS |  
