2025-05-07 06:29:04,285 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-07 06:29:04,280 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-07 06:29:05,596 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=53fe48fb-52d7-4466-ad5f-43623b7de707(db5d64317e8e/172.25.0.102)} | ret=SUCCESS |  
2025-05-07 06:29:06,092 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-07 06:29:07,080 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=0de6618e-3da3-4228-bb28-c4b5e9636015(ozonesecure-ha-datanode3-1.ozonesecure-ha_ozone_net/172.25.0.104)} | ret=SUCCESS |  
2025-05-07 06:29:07,312 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=53fe48fb-52d7-4466-ad5f-43623b7de707, command=[]} | ret=SUCCESS |  
2025-05-07 06:29:07,977 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=7b30f9d0-4a0d-454a-8e23-9d6a87ffcf7c(d8bd57d40423/172.25.0.103)} | ret=SUCCESS |  
2025-05-07 06:29:08,591 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=53fe48fb-52d7-4466-ad5f-43623b7de707, command=[]} | ret=SUCCESS |  
2025-05-07 06:29:09,086 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0de6618e-3da3-4228-bb28-c4b5e9636015, command=[]} | ret=SUCCESS |  
2025-05-07 06:29:09,922 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7b30f9d0-4a0d-454a-8e23-9d6a87ffcf7c, command=[]} | ret=SUCCESS |  
2025-05-07 06:29:10,551 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0de6618e-3da3-4228-bb28-c4b5e9636015, command=[]} | ret=SUCCESS |  
