2023-06-01 19:58:06,941 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=57d0b879-6063-4a3b-bc6c-57b9d0e80aa8, command=[]} | ret=SUCCESS |  
2023-06-01 19:58:24,716 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=bac2e90e-9175-41c6-8203-72111ab9c17c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-01 19:58:24,788 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=969be813-c75f-407d-9853-8df01bcc6eed, command=[]} | ret=SUCCESS |  
2023-06-01 19:58:25,155 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4466e162-4cf5-422a-b1bd-5e5bfccc0fdc, command=[]} | ret=SUCCESS |  
2023-06-01 19:58:32,262 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=bac2e90e-9175-41c6-8203-72111ab9c17c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-01 19:58:36,937 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=57d0b879-6063-4a3b-bc6c-57b9d0e80aa8, command=[]} | ret=SUCCESS |  
2023-06-01 19:58:54,795 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=969be813-c75f-407d-9853-8df01bcc6eed, command=[]} | ret=SUCCESS |  
2023-06-01 19:58:55,148 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4466e162-4cf5-422a-b1bd-5e5bfccc0fdc, command=[]} | ret=SUCCESS |  
2023-06-01 19:59:06,935 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=57d0b879-6063-4a3b-bc6c-57b9d0e80aa8, command=[]} | ret=SUCCESS |  
2023-06-01 19:59:24,789 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=969be813-c75f-407d-9853-8df01bcc6eed, command=[]} | ret=SUCCESS |  
2023-06-01 19:59:25,154 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4466e162-4cf5-422a-b1bd-5e5bfccc0fdc, command=[]} | ret=SUCCESS |  
2023-06-01 19:59:36,937 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=57d0b879-6063-4a3b-bc6c-57b9d0e80aa8, command=[]} | ret=SUCCESS |  
