2022-06-14 20:09:03,977 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:04,142 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:06,235 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=19be2599-3ade-4375-aed6-0e7290d9a59b, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:06,873 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=1a6d3f94-de06-413a-a25f-4e891212c71d, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:09,766 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7b17d897-e4aa-4363-aa3d-a658be34c789, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 20:09:11,369 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:11,497 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=1a6d3f94-de06-413a-a25f-4e891212c71d, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:11,612 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=19be2599-3ade-4375-aed6-0e7290d9a59b, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:18,025 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7b17d897-e4aa-4363-aa3d-a658be34c789, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2022-06-14 20:09:19,534 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=19be2599-3ade-4375-aed6-0e7290d9a59b, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:26,244 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7b17d897-e4aa-4363-aa3d-a658be34c789, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 20:09:41,351 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:41,501 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=1a6d3f94-de06-413a-a25f-4e891212c71d, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:49,536 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=19be2599-3ade-4375-aed6-0e7290d9a59b, command=[]} | ret=SUCCESS |  
2022-06-14 20:09:50,991 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7b17d897-e4aa-4363-aa3d-a658be34c789, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 20:09:56,329 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7b17d897-e4aa-4363-aa3d-a658be34c789, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 20:10:11,350 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:10:11,497 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=1a6d3f94-de06-413a-a25f-4e891212c71d, command=[]} | ret=SUCCESS |  
2022-06-14 20:10:19,531 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=19be2599-3ade-4375-aed6-0e7290d9a59b, command=[]} | ret=SUCCESS |  
2022-06-14 20:10:41,357 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16bccbfa-53c6-4af9-8ed4-ef6398c911fd, command=[]} | ret=SUCCESS |  
2022-06-14 20:10:41,503 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=1a6d3f94-de06-413a-a25f-4e891212c71d, command=[]} | ret=SUCCESS |  
