2024-01-20 11:46:16,898 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:17,156 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:17,176 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:17,231 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:21,735 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4ff09c8f-eb98-4ab5-917d-5607ddda2353, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:21,821 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4ff09c8f-eb98-4ab5-917d-5607ddda2353, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:22,356 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=adaab943-ebd7-4c78-ab86-9e963f0d0678, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:22,394 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ddcb039d-53c1-4e4b-b2c2-c689e79f670b, command=[]} | ret=SUCCESS |  
2024-01-20 11:46:24,037 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=297a5b9d-4454-4ad0-ae8e-ec6149457394, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-20 11:46:25,210 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4ff09c8f-eb98-4ab5-917d-5607ddda2353, command=[]} | ret=SUCCESS |  
