2024-03-29 17:37:34,897 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:34,975 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:35,013 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:35,116 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:39,644 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c99d089e-3cf3-479b-a4b4-a5a005520f92, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:39,649 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c99d089e-3cf3-479b-a4b4-a5a005520f92, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:40,196 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:40,221 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:42,077 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=596dd277-189d-4dc9-8d6c-3f464d669e8b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-03-29 17:37:43,243 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c99d089e-3cf3-479b-a4b4-a5a005520f92, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:43,375 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:43,467 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:48,898 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=596dd277-189d-4dc9-8d6c-3f464d669e8b, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-03-29 17:37:50,021 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:37:55,573 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=596dd277-189d-4dc9-8d6c-3f464d669e8b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-03-29 17:38:12,845 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=596dd277-189d-4dc9-8d6c-3f464d669e8b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-03-29 17:38:13,239 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c99d089e-3cf3-479b-a4b4-a5a005520f92, command=[]} | ret=SUCCESS |  
2024-03-29 17:38:13,459 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
2024-03-29 17:38:17,048 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=596dd277-189d-4dc9-8d6c-3f464d669e8b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-03-29 17:38:20,023 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0b1cfbed-bbbc-4767-b7a9-50be2d32af5e, command=[]} | ret=SUCCESS |  
2024-03-29 17:38:43,245 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c99d089e-3cf3-479b-a4b4-a5a005520f92, command=[]} | ret=SUCCESS |  
2024-03-29 17:38:43,473 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6f52a04a-83f8-4970-b8a1-92836a10bfb2, command=[]} | ret=SUCCESS |  
