2023-12-07 17:05:11,573 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=155df3c5-9506-498b-a66a-c31bfaeacdcb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 17:05:12,898 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4b64dc0a-0dd2-42b5-a24c-d7efe5eddbdb, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:12,930 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=525175cc-c5fa-4a02-9c0f-46e7823cc146, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:12,956 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:15,749 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=525175cc-c5fa-4a02-9c0f-46e7823cc146, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:16,002 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:18,826 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=155df3c5-9506-498b-a66a-c31bfaeacdcb, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-12-07 17:05:20,800 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=525175cc-c5fa-4a02-9c0f-46e7823cc146, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:21,045 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:29,033 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:34,985 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=155df3c5-9506-498b-a66a-c31bfaeacdcb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 17:05:42,865 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4b64dc0a-0dd2-42b5-a24c-d7efe5eddbdb, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:50,808 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=525175cc-c5fa-4a02-9c0f-46e7823cc146, command=[]} | ret=SUCCESS |  
2023-12-07 17:05:52,857 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=155df3c5-9506-498b-a66a-c31bfaeacdcb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 17:05:57,182 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=155df3c5-9506-498b-a66a-c31bfaeacdcb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 17:05:59,036 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
2023-12-07 17:06:12,873 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4b64dc0a-0dd2-42b5-a24c-d7efe5eddbdb, command=[]} | ret=SUCCESS |  
2023-12-07 17:06:20,806 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=525175cc-c5fa-4a02-9c0f-46e7823cc146, command=[]} | ret=SUCCESS |  
2023-12-07 17:06:29,035 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=ecd0e3fc-978e-44e9-8f1a-541540949697, command=[]} | ret=SUCCESS |  
