2023-10-10 19:06:46,888 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 19:06:50,426 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=cdf081a6-00fe-4577-aed6-a3cf6251def6(ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net/172.25.0.102)} | ret=SUCCESS |  
2023-10-10 19:06:51,562 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 19:06:51,766 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:06:54,991 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=f26be33e-969b-413e-8fc4-057beee875b1(ozonesecure-ha_datanode2_1.ozonesecure-ha_ozone_net/172.25.0.103)} | ret=SUCCESS |  
2023-10-10 19:06:56,127 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 19:06:56,962 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:06:57,847 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=de1a9804-79c3-4db1-9b02-4c980dfb061b(5da919274339/172.25.0.104)} | ret=SUCCESS |  
2023-10-10 19:06:59,746 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:00,166 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:06,068 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:21,856 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:24,050 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:24,873 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:28,669 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:29,806 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:29,950 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:33,307 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:33,898 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:35,925 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:39,674 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:40,046 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:41,283 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:42,220 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:07:47,215 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:09,796 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:12,313 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:17,328 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:39,672 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:40,085 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:41,329 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:43,631 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f26be33e-969b-413e-8fc4-057beee875b1, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:43,651 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf081a6-00fe-4577-aed6-a3cf6251def6, command=[]} | ret=SUCCESS |  
2023-10-10 19:08:43,797 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=de1a9804-79c3-4db1-9b02-4c980dfb061b, command=[]} | ret=SUCCESS |  
