2025-10-20 07:47:43,845 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:47:44,055 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"367ebc31-785a-443d-9547-ece871629573(e80b505610ed/172.18.0.6)"} | ret=SUCCESS |  
2025-10-20 07:47:45,039 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-10-20 07:47:45,078 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-10-20 07:47:45,079 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2025-10-20 07:47:45,130 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2025-10-20 07:47:46,114 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"367ebc31-785a-443d-9547-ece871629573","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"be88906d-a481-48d3-90bd-bf9c89110f65\" uuid128 { mostSigBits: -4717361809084823341 leastSigBits: -8017041082614214811 } } type: RATIS factor: ONE datanode { uuid: \"367ebc31-785a-443d-9547-ece871629573\" ipAddress: \"172.18.0.6\" hostName: \"compatibility-datanode-1.compatibility_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"367ebc31-785a-443d-9547-ece871629573\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 3926782845772252221 leastSigBits: -7689917355632978573 } level: 3 id { uuid { mostSigBits: 3926782845772252221 leastSigBits: -7689917355632978573 } } } cmdId: 1760946464058 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2025-10-20 07:47:47,414 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"367ebc31-785a-443d-9547-ece871629573","term":"2","command":"[]"} | ret=SUCCESS |  
2025-10-20 07:47:48,850 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-10-20 07:47:52,577 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"367ebc31-785a-443d-9547-ece871629573","term":"2","command":"[]"} | ret=SUCCESS |  
2025-10-20 07:48:00,068 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=ALLOCATE_BLOCK {"replication":"RATIS/ONE","owner":"omServiceIdDefault","size":"268435456","sampleBlocks":"[conID: 1 locID: 115816896921600001]","num":"1","client":"","allocated":"1"} | ret=SUCCESS |  
2025-10-20 07:48:01,198 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"367ebc31-785a-443d-9547-ece871629573","term":"2","command":"[]"} | ret=SUCCESS |  
2025-10-20 07:48:04,055 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {"containerIDs":"#1,"} | ret=SUCCESS |  
2025-10-20 07:48:09,272 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_CONTAINER {"replication":"ONE","owner":"OZONE","replicationType":"STAND_ALONE"} | ret=SUCCESS |  
2025-10-20 07:48:10,029 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"367ebc31-785a-443d-9547-ece871629573","term":"2","command":"[]"} | ret=SUCCESS |  
