2023-08-31 18:18:06,524 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2261f5aa-4e54-4450-8ad4-6b7e07db7ebf, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:10,890 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:10,910 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:10,941 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=68c7639f-9c51-4c2e-8125-89681a0c0cd0, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:11,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2261f5aa-4e54-4450-8ad4-6b7e07db7ebf, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:14,479 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=580e22a9-7f32-46f9-9d54-2ff0e7c44a42, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:16,105 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:16,283 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=68c7639f-9c51-4c2e-8125-89681a0c0cd0, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:16,288 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2261f5aa-4e54-4450-8ad4-6b7e07db7ebf, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:23,362 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=580e22a9-7f32-46f9-9d54-2ff0e7c44a42, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:24,913 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:32,110 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=580e22a9-7f32-46f9-9d54-2ff0e7c44a42, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:46,292 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2261f5aa-4e54-4450-8ad4-6b7e07db7ebf, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:46,305 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=68c7639f-9c51-4c2e-8125-89681a0c0cd0, command=[]} | ret=SUCCESS |  
2023-08-31 18:18:54,725 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=580e22a9-7f32-46f9-9d54-2ff0e7c44a42, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:54,929 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
2023-08-31 18:19:00,018 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=580e22a9-7f32-46f9-9d54-2ff0e7c44a42, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 18:19:16,311 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=68c7639f-9c51-4c2e-8125-89681a0c0cd0, command=[]} | ret=SUCCESS |  
2023-08-31 18:19:16,324 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2261f5aa-4e54-4450-8ad4-6b7e07db7ebf, command=[]} | ret=SUCCESS |  
2023-08-31 18:19:24,919 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1709a842-842d-4cbb-b2e9-c83adc64cbeb, command=[]} | ret=SUCCESS |  
