2026-08-10 06:27:36,660 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-10 06:27:37,380 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-10 06:27:37,381 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.16 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-10 06:27:37,396 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-10 06:27:37,926 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-10 06:27:38,580 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"ff4f1749-2354-42a8-a27a-fec10b63835b(ad6c6228a652/172.18.0.12)"} | ret=SUCCESS |  
2026-08-10 06:27:38,831 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=REGISTER {"datanodeDetails":"4a4d900b-11c6-4617-83a0-247d4a8b0092(2daa474d06d7/172.18.0.15)"} | ret=SUCCESS |  
2026-08-10 06:27:38,930 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-10 06:27:39,933 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-10 06:27:40,432 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"ff4f1749-2354-42a8-a27a-fec10b63835b","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"379eed40-7d2e-434a-9375-880d4417e1c7\" uuid128 { mostSigBits: 4007901579640193866 leastSigBits: -7821195587300630073 } } type: RATIS factor: ONE datanode { uuid: \"ff4f1749-2354-42a8-a27a-fec10b63835b\" ipAddress: \"172.18.0.12\" hostName: \"ozone-ha-datanode-2.ozone-ha_default\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"ff4f1749-2354-42a8-a27a-fec10b63835b\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -49795467985010008 leastSigBits: -6738793787333311653 } level: 3 id { uuid { mostSigBits: -49795467985010008 leastSigBits: -6738793787333311653 } } } cmdId: 1786343258567 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-10 06:27:40,797 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=SEND_HEARTBEAT {"datanodeUUID":"4a4d900b-11c6-4617-83a0-247d4a8b0092","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"d90afa5b-4728-491a-af9b-dfa4b1850d1b\" uuid128 { mostSigBits: -2807156147769292518 leastSigBits: -5792790597236093669 } } type: RATIS factor: ONE datanode { uuid: \"4a4d900b-11c6-4617-83a0-247d4a8b0092\" ipAddress: \"172.18.0.15\" hostName: \"ozone-ha-datanode-3.ozone-ha_default\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"4a4d900b-11c6-4617-83a0-247d4a8b0092\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 5354093909230634519 leastSigBits: -8962123137927151470 } level: 3 id { uuid { mostSigBits: 5354093909230634519 leastSigBits: -8962123137927151470 } } } cmdId: 1786343258568 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-10 06:27:40,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-10 06:27:41,210 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO {} | ret=SUCCESS |  
