2023-10-12 19:18:14,986 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:18:16,302 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:18:24,506 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:19:16,198 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:20:16,269 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:21:16,328 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:21:27,725 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:21:29,224 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=decom-volume, creationTime=1697138488863, modificationTime=1697138488863, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-10-12 19:21:34,451 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:21:35,574 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_VOLUME {volume=decom-volume} | ret=SUCCESS |  
2023-10-12 19:21:35,742 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=CREATE_BUCKET {volume=decom-volume, bucket=decom-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS], group:testuser:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1697138495704, bucketEncryptionKey=null, modificationTime=1697138495704, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-10-12 19:21:40,388 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-12 19:21:41,568 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_VOLUME {volume=decom-volume} | ret=SUCCESS |  
2023-10-12 19:21:41,601 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_BUCKET {volume=decom-volume, bucket=decom-bucket} | ret=SUCCESS |  
2023-10-12 19:21:41,791 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_BUCKET {volume=decom-volume, bucket=decom-bucket} | ret=SUCCESS |  
2023-10-12 19:21:44,528 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=ALLOCATE_KEY {volume=decom-volume, bucket=decom-bucket, key=testfiledecomm, dataSize=31, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-10-12 19:21:49,741 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=COMMIT_KEY {volume=decom-volume, bucket=decom-bucket, key=testfiledecomm, dataSize=31, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-10-12 19:22:16,384 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
