2023-12-07 18:09:24,470 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=64a01011-ed6d-4252-b166-f0750c7d2955, command=[]} | ret=SUCCESS |  
2023-12-07 18:09:54,406 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ff54b86-f3b1-4731-92c9-3c17b09f0949, command=[]} | ret=SUCCESS |  
2023-12-07 18:09:54,472 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=64a01011-ed6d-4252-b166-f0750c7d2955, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:13,957 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4708e7ea-0924-4588-a9b3-31d9757a82b5, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "475aabae-6e19-4936-b05f-2953f6cea36f" uuid128 { mostSigBits: 5141610690256652598 leastSigBits: -5737821959646960785 } } type: RATIS factor: ONE datanode { uuid: "4708e7ea-0924-4588-a9b3-31d9757a82b5" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "4708e7ea-0924-4588-a9b3-31d9757a82b5" networkLocation: "/default-rack" uuid128 { mostSigBits: 5118595968868304264 leastSigBits: -6218571850419895627 } } cmdId: 1701972555877 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "2356d45b-67a4-429f-bb1b-23108925db6a" uuid128 { mostSigBits: 2546456128370524831 leastSigBits: -4964335610318431382 } } type: RATIS factor: THREE datanode { uuid: "64a01011-ed6d-4252-b166-f0750c7d2955" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "64a01011-ed6d-4252-b166-f0750c7d2955" networkLocation: "/default-rack" uuid128 { mostSigBits: 7250813069250347602 leastSigBits: -5663575095860450987 } } datanode { uuid: "4708e7ea-0924-4588-a9b3-31d9757a82b5" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "4708e7ea-0924-4588-a9b3-31d9757a82b5" networkLocation: "/default-rack" uuid128 { mostSigBits: 5118595968868304264 leastSigBits: -6218571850419895627 } } datanode { uuid: "2ff54b86-f3b1-4731-92c9-3c17b09f0949" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "2ff54b86-f3b1-4731-92c9-3c17b09f0949" networkLocation: "/default-rack" uuid128 { mostSigBits: 3455751332062906161 leastSigBits: -7869692801408104119 } } cmdId: 1701972555880 } ]} | ret=SUCCESS |  
2023-12-07 18:10:16,689 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=0d2241e3-604e-4116-9a9c-f613c5ab2791, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 18:10:17,808 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ff54b86-f3b1-4731-92c9-3c17b09f0949, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:17,915 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=64a01011-ed6d-4252-b166-f0750c7d2955, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:17,954 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4708e7ea-0924-4588-a9b3-31d9757a82b5, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:20,660 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4708e7ea-0924-4588-a9b3-31d9757a82b5, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:23,522 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=0d2241e3-604e-4116-9a9c-f613c5ab2791, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-12-07 18:10:24,839 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=64a01011-ed6d-4252-b166-f0750c7d2955, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:25,843 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4708e7ea-0924-4588-a9b3-31d9757a82b5, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:30,574 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=0d2241e3-604e-4116-9a9c-f613c5ab2791, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 18:10:47,793 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ff54b86-f3b1-4731-92c9-3c17b09f0949, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:47,961 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=0d2241e3-604e-4116-9a9c-f613c5ab2791, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 18:10:52,222 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=0d2241e3-604e-4116-9a9c-f613c5ab2791, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-07 18:10:54,841 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=64a01011-ed6d-4252-b166-f0750c7d2955, command=[]} | ret=SUCCESS |  
2023-12-07 18:10:55,847 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4708e7ea-0924-4588-a9b3-31d9757a82b5, command=[]} | ret=SUCCESS |  
2023-12-07 18:11:17,796 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ff54b86-f3b1-4731-92c9-3c17b09f0949, command=[]} | ret=SUCCESS |  
