2025-06-14 12:32:35,840 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMMIT_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=README4.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE, ETag=d5568357dc4eaab62bd52312f884c9be, Transaction=23} | ret=SUCCESS |  
2025-06-14 12:32:35,900 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=README10.md, dataSize=4068, replicationType=NONE, Transaction=25} | ret=SUCCESS |  
2025-06-14 12:32:36,670 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=README10.md, dataSize=4068, replicationType=RATIS, replicationFactor=THREE, ETag=d5568357dc4eaab62bd52312f884c9be, Transaction=27} | ret=SUCCESS |  
2025-06-14 12:32:36,711 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=INITIATE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=0, uploadID=01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454, Transaction=29} | ret=SUCCESS |  
2025-06-14 12:32:36,771 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=2097153, Transaction=31} | ret=SUCCESS |  
2025-06-14 12:32:36,806 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=8388608, Transaction=33} | ret=SUCCESS |  
2025-06-14 12:32:36,833 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=THREE, clientID=114681731923509255, Transaction=35} | ret=SUCCESS |  
2025-06-14 12:32:36,854 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=114681731926130696, Transaction=37} | ret=SUCCESS |  
2025-06-14 12:32:37,406 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=2097153, ETag=4eda5bcf5ef0cd4066425006dba9ffaa, uploadID=01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454, partNumber=2, partName=/s3v/bucket-tgdkxlhtcm/multiUpload.1.gz-01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454-2, Transaction=39} | ret=SUCCESS |  
2025-06-14 12:32:37,518 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.9 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-tgdkxlhtcm, key=multiUpload.1.gz, dataSize=8388608, ETag=96995b58d4cbf6aaa9041b4f00c7f6ae, uploadID=01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454, partNumber=1, partName=/s3v/bucket-tgdkxlhtcm/multiUpload.1.gz-01976e6d-7555-7ea0-a918-b5c4b514e009-114681731920232454-1, Transaction=41} | ret=SUCCESS |  
