2023-12-06 16:23:58,182 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=59d671d0-0e73-40fd-aa19-d8fca1b2d636, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:02,738 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=185882bc-06e9-48e6-be31-007f2dea3ca1, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:02,822 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=185882bc-06e9-48e6-be31-007f2dea3ca1, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:02,916 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=3be8c267-97d0-425e-91c7-f279e8ff2a33, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:03,314 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=59d671d0-0e73-40fd-aa19-d8fca1b2d636, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:05,615 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=aae35417-ec2d-467e-b529-93ecc01881f5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-06 16:24:06,724 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=185882bc-06e9-48e6-be31-007f2dea3ca1, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:06,785 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=3be8c267-97d0-425e-91c7-f279e8ff2a33, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:06,815 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=59d671d0-0e73-40fd-aa19-d8fca1b2d636, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:12,580 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=aae35417-ec2d-467e-b529-93ecc01881f5, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-12-06 16:24:13,819 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=3be8c267-97d0-425e-91c7-f279e8ff2a33, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:19,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=aae35417-ec2d-467e-b529-93ecc01881f5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-06 16:24:36,718 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=185882bc-06e9-48e6-be31-007f2dea3ca1, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:36,814 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=59d671d0-0e73-40fd-aa19-d8fca1b2d636, command=[]} | ret=SUCCESS |  
2023-12-06 16:24:37,935 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=aae35417-ec2d-467e-b529-93ecc01881f5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-06 16:24:42,245 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=aae35417-ec2d-467e-b529-93ecc01881f5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-06 16:24:43,823 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=3be8c267-97d0-425e-91c7-f279e8ff2a33, command=[]} | ret=SUCCESS |  
2023-12-06 16:25:06,720 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=185882bc-06e9-48e6-be31-007f2dea3ca1, command=[]} | ret=SUCCESS |  
2023-12-06 16:25:06,818 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=59d671d0-0e73-40fd-aa19-d8fca1b2d636, command=[]} | ret=SUCCESS |  
2023-12-06 16:25:13,822 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=3be8c267-97d0-425e-91c7-f279e8ff2a33, command=[]} | ret=SUCCESS |  
