2023-10-10 19:24:01,863 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:05,577 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:05,722 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:05,939 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9423412e-da47-4829-9ad2-9a5fc59ecd51, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:06,894 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:10,060 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=9b184458-c5e6-4366-af44-39cc23ed0547, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 19:24:11,838 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:12,106 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9423412e-da47-4829-9ad2-9a5fc59ecd51, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:12,274 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:20,022 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=9b184458-c5e6-4366-af44-39cc23ed0547, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-10 19:24:21,791 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:30,268 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=9b184458-c5e6-4366-af44-39cc23ed0547, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 19:24:42,112 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9423412e-da47-4829-9ad2-9a5fc59ecd51, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:42,256 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:51,794 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:24:56,573 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=9b184458-c5e6-4366-af44-39cc23ed0547, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 19:25:02,633 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=9b184458-c5e6-4366-af44-39cc23ed0547, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 19:25:12,113 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9423412e-da47-4829-9ad2-9a5fc59ecd51, command=[]} | ret=SUCCESS |  
2023-10-10 19:25:12,268 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
2023-10-10 19:25:21,799 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5aabd74a-5406-4f1b-a7e3-357d6ce1e631, command=[]} | ret=SUCCESS |  
2023-10-10 19:25:42,115 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9423412e-da47-4829-9ad2-9a5fc59ecd51, command=[]} | ret=SUCCESS |  
2023-10-10 19:25:42,261 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d526bdcf-94d0-4f9a-8fb9-c8e998a50851, command=[]} | ret=SUCCESS |  
