2023-06-15 17:14:10,703 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:13,515 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:13,817 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:14,504 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7ed7e232-958e-45da-98bc-bbef8eb3b279, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:15,944 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:19,723 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=faababad-127d-4f75-8423-a13b6e7b1e55, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-15 17:14:21,533 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:22,019 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7ed7e232-958e-45da-98bc-bbef8eb3b279, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:22,033 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:29,460 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=faababad-127d-4f75-8423-a13b6e7b1e55, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-15 17:14:31,140 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7ed7e232-958e-45da-98bc-bbef8eb3b279, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:38,444 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=faababad-127d-4f75-8423-a13b6e7b1e55, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-15 17:14:51,515 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:14:52,020 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:01,144 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7ed7e232-958e-45da-98bc-bbef8eb3b279, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:05,790 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=faababad-127d-4f75-8423-a13b6e7b1e55, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-15 17:15:11,212 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=faababad-127d-4f75-8423-a13b6e7b1e55, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-15 17:15:21,513 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:22,020 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:31,141 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7ed7e232-958e-45da-98bc-bbef8eb3b279, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:51,513 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=85730951-db88-49ea-b36a-fb623f540b8c, command=[]} | ret=SUCCESS |  
2023-06-15 17:15:52,018 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=50a31356-2bec-48c1-83fa-23359b407819, command=[]} | ret=SUCCESS |  
