2023-10-10 21:19:26,113 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:30,184 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:30,369 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:30,764 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=acfd3ed4-d86d-456f-b42b-64d9657041ab, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:31,241 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:34,313 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=fe5f5156-8abb-4399-8db8-dc3a67bbaee2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 21:19:36,010 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:36,223 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:36,291 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=acfd3ed4-d86d-456f-b42b-64d9657041ab, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:45,612 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=fe5f5156-8abb-4399-8db8-dc3a67bbaee2, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-10 21:19:47,538 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=acfd3ed4-d86d-456f-b42b-64d9657041ab, command=[]} | ret=SUCCESS |  
2023-10-10 21:19:55,500 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=fe5f5156-8abb-4399-8db8-dc3a67bbaee2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 21:20:06,009 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:20:06,219 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
2023-10-10 21:20:17,521 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=acfd3ed4-d86d-456f-b42b-64d9657041ab, command=[]} | ret=SUCCESS |  
2023-10-10 21:20:19,471 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=fe5f5156-8abb-4399-8db8-dc3a67bbaee2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 21:20:24,888 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=fe5f5156-8abb-4399-8db8-dc3a67bbaee2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-10 21:20:36,000 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:20:36,224 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
2023-10-10 21:20:47,512 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=acfd3ed4-d86d-456f-b42b-64d9657041ab, command=[]} | ret=SUCCESS |  
2023-10-10 21:21:05,999 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=122fdcdd-f976-43d4-a7d8-200def82f77e, command=[]} | ret=SUCCESS |  
2023-10-10 21:21:06,218 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=101d8796-4b1e-4f1f-8e91-9280ab801593, command=[]} | ret=SUCCESS |  
