2022-07-27 17:06:51,749 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:55,624 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:55,854 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:56,313 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:56,993 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:00,927 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=2df7b6a2-df06-4806-853c-056fe20edd0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-27 17:07:02,666 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:02,892 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:02,909 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:09,542 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=2df7b6a2-df06-4806-853c-056fe20edd0d, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2022-07-27 17:07:11,141 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:17,884 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=2df7b6a2-df06-4806-853c-056fe20edd0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-27 17:07:32,637 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:32,888 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:41,134 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:07:42,816 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=2df7b6a2-df06-4806-853c-056fe20edd0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-27 17:07:47,933 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=2df7b6a2-df06-4806-853c-056fe20edd0d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-07-27 17:08:02,637 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:08:02,904 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
2022-07-27 17:08:11,136 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:08:32,644 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:08:32,897 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
