2023-06-09 21:03:05,591 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:09,901 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:10,013 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=b7c13872-5cf9-4c97-8df5-adc06711f940, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:10,218 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:10,589 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:16,126 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f0a05473-2819-455b-89e9-1e18110da84f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-09 21:03:17,910 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:18,019 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:18,161 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=b7c13872-5cf9-4c97-8df5-adc06711f940, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:24,641 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f0a05473-2819-455b-89e9-1e18110da84f, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-09 21:03:26,308 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:33,446 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f0a05473-2819-455b-89e9-1e18110da84f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-09 21:03:48,025 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:48,153 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=b7c13872-5cf9-4c97-8df5-adc06711f940, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:56,318 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:03:59,872 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f0a05473-2819-455b-89e9-1e18110da84f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-09 21:04:05,107 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f0a05473-2819-455b-89e9-1e18110da84f, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-09 21:04:18,037 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:04:18,152 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=b7c13872-5cf9-4c97-8df5-adc06711f940, command=[]} | ret=SUCCESS |  
2023-06-09 21:04:26,318 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=ae2192ef-7857-4a8b-9ea1-796798943611, command=[]} | ret=SUCCESS |  
2023-06-09 21:04:48,026 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=36cf87fe-48fc-45e3-973d-9eb9ed28731d, command=[]} | ret=SUCCESS |  
2023-06-09 21:04:48,146 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=b7c13872-5cf9-4c97-8df5-adc06711f940, command=[]} | ret=SUCCESS |  
