2024-01-06 04:05:04,018 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:04,124 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:04,143 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:04,252 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:08,835 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ba5339f8-c4b1-4b88-9700-f9b6a946be47, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:08,867 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ba5339f8-c4b1-4b88-9700-f9b6a946be47, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:09,260 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:09,411 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:11,780 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=07e072ea-7193-4953-9951-a663eff3ed2c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-06 04:05:12,950 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ba5339f8-c4b1-4b88-9700-f9b6a946be47, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:13,058 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:13,062 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:18,593 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=07e072ea-7193-4953-9951-a663eff3ed2c, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-06 04:05:20,026 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:25,816 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=07e072ea-7193-4953-9951-a663eff3ed2c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-06 04:05:42,951 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ba5339f8-c4b1-4b88-9700-f9b6a946be47, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:43,064 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:05:43,851 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=07e072ea-7193-4953-9951-a663eff3ed2c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-06 04:05:48,180 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=07e072ea-7193-4953-9951-a663eff3ed2c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-06 04:05:50,029 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
2024-01-06 04:06:12,948 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ba5339f8-c4b1-4b88-9700-f9b6a946be47, command=[]} | ret=SUCCESS |  
2024-01-06 04:06:13,066 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9c5a5dd5-8298-413e-ba47-4633fdcf0397, command=[]} | ret=SUCCESS |  
2024-01-06 04:06:20,030 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=78ad224c-a061-465b-bce4-ad8277598d45, command=[]} | ret=SUCCESS |  
