2023-10-11 15:50:26,634 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:50:27,024 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:50:35,799 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:51:28,593 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:52:28,757 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:53:28,847 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:53:38,894 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:53:40,258 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=decom-volume, creationTime=1697039620006, modificationTime=1697039620006, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-10-11 15:53:45,456 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:53:46,917 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_VOLUME {volume=decom-volume} | ret=SUCCESS |  
2023-10-11 15:53:47,132 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=CREATE_BUCKET {volume=decom-volume, bucket=decom-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS], group:testuser:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1697039627021, bucketEncryptionKey=null, modificationTime=1697039627021, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-10-11 15:53:52,125 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-10-11 15:53:53,321 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_VOLUME {volume=decom-volume} | ret=SUCCESS |  
2023-10-11 15:53:53,355 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_BUCKET {volume=decom-volume, bucket=decom-bucket} | ret=SUCCESS |  
2023-10-11 15:53:53,495 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=READ_BUCKET {volume=decom-volume, bucket=decom-bucket} | ret=SUCCESS |  
2023-10-11 15:53:56,329 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=ALLOCATE_KEY {volume=decom-volume, bucket=decom-bucket, key=testfiledecomm, dataSize=31, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-10-11 15:54:01,347 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.118 | op=COMMIT_KEY {volume=decom-volume, bucket=decom-bucket, key=testfiledecomm, dataSize=31, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-10-11 15:54:28,940 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
