2025-02-23 09:39:32,917 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:34,027 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:34,452 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.21.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-02-23 09:39:35,031 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:36,037 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:37,042 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:38,048 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:39,057 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:40,065 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:41,073 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:42,075 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:43,080 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:44,085 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:45,094 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:46,099 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:46,880 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.21.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-02-23 09:39:47,105 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:47,726 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:39:48,109 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:48,221 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:39:48,466 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:39:49,116 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:49,720 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.7 | op=REGISTER {datanodeDetails=4c6b5129-47f7-4a96-8ce2-9f53bc33c645(dn/172.21.0.7)} | ret=SUCCESS |  
2025-02-23 09:39:50,121 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:39:50,199 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.11 | op=REGISTER {datanodeDetails=efbe6280-477d-4489-a2fa-1aa34f0339ee(dn/172.21.0.11)} | ret=SUCCESS |  
2025-02-23 09:39:50,256 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.21.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-02-23 09:39:50,404 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.21.0.12 | op=REGISTER {datanodeDetails=b6a93460-d271-479e-bc64-a5096d0f6907(dn/172.21.0.12)} | ret=SUCCESS |  
2025-02-23 09:39:51,126 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
