2023-07-13 21:26:36,453 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:40,934 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6c97c744-03a7-4611-93eb-0d198f07fac2, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:40,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:41,271 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:41,421 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:45,626 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=88fa6c13-40f8-4b40-a6a4-b3f08d6287e2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-13 21:26:47,587 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:47,709 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6c97c744-03a7-4611-93eb-0d198f07fac2, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:47,980 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
2023-07-13 21:26:55,751 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=88fa6c13-40f8-4b40-a6a4-b3f08d6287e2, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-07-13 21:26:57,740 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6c97c744-03a7-4611-93eb-0d198f07fac2, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:06,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=88fa6c13-40f8-4b40-a6a4-b3f08d6287e2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-13 21:27:17,597 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:17,990 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:27,738 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6c97c744-03a7-4611-93eb-0d198f07fac2, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:32,083 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=88fa6c13-40f8-4b40-a6a4-b3f08d6287e2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-13 21:27:38,311 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=88fa6c13-40f8-4b40-a6a4-b3f08d6287e2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-13 21:27:47,597 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:47,986 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
2023-07-13 21:27:57,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6c97c744-03a7-4611-93eb-0d198f07fac2, command=[]} | ret=SUCCESS |  
2023-07-13 21:28:17,599 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=86d878c2-26cc-4775-9efa-2acc3bfcd9c5, command=[]} | ret=SUCCESS |  
2023-07-13 21:28:17,987 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=375f870c-6317-48e9-a102-4c22ab94c2d2, command=[]} | ret=SUCCESS |  
