2023-04-16 17:49:04,831 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:09,470 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:09,703 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:09,795 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=db5ceae8-962c-48db-a5a3-770ab411fbda, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:09,973 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:14,333 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=b9ea4285-da08-4c75-8323-cb9c787bb637, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-16 17:49:15,899 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:16,042 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:16,173 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=db5ceae8-962c-48db-a5a3-770ab411fbda, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:22,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=b9ea4285-da08-4c75-8323-cb9c787bb637, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-04-16 17:49:24,444 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=db5ceae8-962c-48db-a5a3-770ab411fbda, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:31,103 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=b9ea4285-da08-4c75-8323-cb9c787bb637, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-16 17:49:45,894 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:46,042 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:54,449 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=db5ceae8-962c-48db-a5a3-770ab411fbda, command=[]} | ret=SUCCESS |  
2023-04-16 17:49:56,425 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=b9ea4285-da08-4c75-8323-cb9c787bb637, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-16 17:50:01,382 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=b9ea4285-da08-4c75-8323-cb9c787bb637, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-16 17:50:15,892 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:50:16,040 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
2023-04-16 17:50:24,451 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=db5ceae8-962c-48db-a5a3-770ab411fbda, command=[]} | ret=SUCCESS |  
2023-04-16 17:50:45,888 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=42448c92-e57f-43bf-a354-c8272421010f, command=[]} | ret=SUCCESS |  
2023-04-16 17:50:46,037 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=473852b1-a671-45d3-813c-aaebb3fed7c3, command=[]} | ret=SUCCESS |  
