2023-06-16 11:05:31,736 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:35,327 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ab372fb4-99b9-4104-b269-3a4e2b82a745, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:35,513 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:35,762 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:36,776 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:39,399 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=eb3c8ed9-5aaa-4287-a572-96e6e918a595, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-16 11:05:40,981 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ebe9ee15-dec0-45fa-94ce-9e66869d8bac, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:41,223 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=e350f175-6748-48fd-a185-9f3cb7083773, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:41,435 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ab372fb4-99b9-4104-b269-3a4e2b82a745, command=[]} | ret=SUCCESS |  
2023-06-16 11:05:48,276 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=eb3c8ed9-5aaa-4287-a572-96e6e918a595, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
