2023-05-19 07:29:55,171 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-19 07:29:55,175 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-19 07:29:55,175 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-19 07:29:55,175 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-19 07:29:55,852 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-19 07:29:56,671 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=REGISTER {datanodeDetails=1ec36ca3-90d5-439f-9fd1-a14fb31b5836{ip: 172.21.0.10, host: 9643e9f60b00, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-19 07:29:56,809 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-19 07:29:57,387 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-19 07:29:57,469 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=REGISTER {datanodeDetails=f7b39bd9-9da9-4d62-ad71-e782110ff2b8{ip: 172.21.0.12, host: 0099f2db7ca3, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-19 07:29:57,509 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=REGISTER {datanodeDetails=6ee8c298-bed1-4902-a243-9d1a3ae32380{ip: 172.21.0.8, host: 4efcfa489018, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-19 07:29:58,509 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1ec36ca3-90d5-439f-9fd1-a14fb31b5836, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "62411b3f-1f7d-4e60-8bc2-603cf2c8dd08" uuid128 { mostSigBits: 7079970047128325728 leastSigBits: -8376026542068146936 } } type: RATIS factor: ONE datanode { uuid: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" ipAddress: "172.21.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2216734891361780639 leastSigBits: -6930580987867080650 } } cmdId: 1684481396704 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d6887225-65bd-4f49-b201-fc0ca92c6755" uuid128 { mostSigBits: -2988012847814062263 leastSigBits: -5619933728673601707 } } type: RATIS factor: THREE datanode { uuid: "6ee8c298-bed1-4902-a243-9d1a3ae32380" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6ee8c298-bed1-4902-a243-9d1a3ae32380" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7991851500061149442 leastSigBits: -6754382280142937216 } } datanode { uuid: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" ipAddress: "172.21.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2216734891361780639 leastSigBits: -6930580987867080650 } } datanode { uuid: "f7b39bd9-9da9-4d62-ad71-e782110ff2b8" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f7b39bd9-9da9-4d62-ad71-e782110ff2b8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -597962966554817182 leastSigBits: -5948719086961691976 } } cmdId: 1684481396706 priority: 1 priority: 0 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4fa1f5e1-bda7-4239-ab90-f5af07de9725" uuid128 { mostSigBits: 5738137750145024569 leastSigBits: -6084092964477429979 } } type: RATIS factor: THREE datanode { uuid: "f7b39bd9-9da9-4d62-ad71-e782110ff2b8" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f7b39bd9-9da9-4d62-ad71-e782110ff2b8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -597962966554817182 leastSigBits: -5948719086961691976 } } datanode { uuid: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" ipAddress: "172.21.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1ec36ca3-90d5-439f-9fd1-a14fb31b5836" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2216734891361780639 leastSigBits: -6930580987867080650 } } datanode { uuid: "6ee8c298-bed1-4902-a243-9d1a3ae32380" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6ee8c298-bed1-4902-a243-9d1a3ae32380" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7991851500061149442 leastSigBits: -6754382280142937216 } } cmdId: 1684481396708 priority: 1 priority: 0 priority: 0 } ]} | ret=SUCCESS |  
