2023-05-19 07:27:00,117 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e0f85c41-2c76-48b7-b0fa-3a848421c998, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:03,051 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=199862a4-5eb3-45b8-b854-5bbdbfe4929a, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:03,147 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=199862a4-5eb3-45b8-b854-5bbdbfe4929a, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:04,222 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=922906a1-82c9-4338-859e-72d9e16028c6, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:05,030 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e0f85c41-2c76-48b7-b0fa-3a848421c998, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:10,156 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=99d1cc7d-e7ba-4c20-a8a7-a5c26e2b93aa, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-19 07:27:12,288 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=199862a4-5eb3-45b8-b854-5bbdbfe4929a, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:12,371 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=922906a1-82c9-4338-859e-72d9e16028c6, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:12,394 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e0f85c41-2c76-48b7-b0fa-3a848421c998, command=[]} | ret=SUCCESS |  
2023-05-19 07:27:20,181 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=99d1cc7d-e7ba-4c20-a8a7-a5c26e2b93aa, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
