2023-08-23 22:52:02,841 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=60fe0978-eb2d-4047-abdf-b75cc1d48047, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:06,465 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4dc001ea-4d37-4509-9c6b-27adc4653dcb, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:06,676 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4dc001ea-4d37-4509-9c6b-27adc4653dcb, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:07,337 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3d866a24-f12b-4239-bc28-dab633fceadc, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:07,977 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=60fe0978-eb2d-4047-abdf-b75cc1d48047, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:10,732 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=dd07bb16-98d9-4a06-b3d5-708ea587fa4d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-23 22:52:12,518 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4dc001ea-4d37-4509-9c6b-27adc4653dcb, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:12,687 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3d866a24-f12b-4239-bc28-dab633fceadc, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:12,844 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=60fe0978-eb2d-4047-abdf-b75cc1d48047, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:19,905 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=dd07bb16-98d9-4a06-b3d5-708ea587fa4d, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-08-23 22:52:21,688 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3d866a24-f12b-4239-bc28-dab633fceadc, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:28,855 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=dd07bb16-98d9-4a06-b3d5-708ea587fa4d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-23 22:52:42,514 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4dc001ea-4d37-4509-9c6b-27adc4653dcb, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:42,841 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=60fe0978-eb2d-4047-abdf-b75cc1d48047, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:51,024 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=dd07bb16-98d9-4a06-b3d5-708ea587fa4d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-23 22:52:51,676 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3d866a24-f12b-4239-bc28-dab633fceadc, command=[]} | ret=SUCCESS |  
2023-08-23 22:52:56,275 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=dd07bb16-98d9-4a06-b3d5-708ea587fa4d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-23 22:53:12,514 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=4dc001ea-4d37-4509-9c6b-27adc4653dcb, command=[]} | ret=SUCCESS |  
2023-08-23 22:53:12,846 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=60fe0978-eb2d-4047-abdf-b75cc1d48047, command=[]} | ret=SUCCESS |  
2023-08-23 22:53:21,690 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3d866a24-f12b-4239-bc28-dab633fceadc, command=[]} | ret=SUCCESS |  
