2023-07-16 04:52:30,760 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:34,422 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:34,712 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:35,327 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fb643f47-389c-499f-862f-3e694a4a939e, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:35,739 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:39,245 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=0c26f981-cd4c-493b-9678-00e09e71a837, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-16 04:52:41,207 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:41,507 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fb643f47-389c-499f-862f-3e694a4a939e, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:41,559 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ddceee06-c999-4888-8c11-9381bedc9794, command=[]} | ret=SUCCESS |  
2023-07-16 04:52:49,649 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=0c26f981-cd4c-493b-9678-00e09e71a837, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-07-16 04:52:51,842 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=8ce16940-0905-4a9c-a5eb-adaf222452d2, command=[]} | ret=SUCCESS |  
2023-07-16 04:53:01,085 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=0c26f981-cd4c-493b-9678-00e09e71a837, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-16 04:53:11,522 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fb643f47-389c-499f-862f-3e694a4a939e, command=[]} | ret=SUCCESS |  
