2025-07-25 07:47:52,608 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2025-07-25 07:48:06,114 OK[op=GET_METADATA, key=key1, user=om] 
2025-07-25 07:48:06,353 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=0ms] 
2025-07-25 07:48:08,340 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:48:16,519 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=2, interval=10166ms] 
2025-07-25 07:48:18,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=14, interval=10176ms] 
2025-07-25 07:48:29,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=21176ms] 
2025-07-25 07:49:19,576 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:49:29,890 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=100, interval=10314ms] 
2025-07-25 07:49:29,892 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=2ms] 
2025-07-25 07:49:40,471 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=22, interval=20895ms] 
2025-07-25 07:49:40,471 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:49:50,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=30940ms] 
2025-07-25 07:50:00,519 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=5, interval=40943ms] 
2025-07-25 07:50:11,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=6, interval=51940ms] 
2025-07-25 07:50:21,564 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=9, interval=61988ms] 
2025-07-25 07:50:21,564 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:50:32,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=9, interval=72940ms] 
2025-07-25 07:50:43,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=83940ms] 
2025-07-25 07:51:10,210 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:51:20,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=6, interval=10306ms] 
2025-07-25 07:51:30,789 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=20579ms] 
2025-07-25 07:51:30,789 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:51:41,503 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=4, interval=31293ms] 
2025-07-25 07:51:41,503 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2025-07-25 07:51:51,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=4, interval=41306ms] 
2025-07-25 07:52:02,516 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=4, interval=52306ms] 
2025-07-25 07:52:12,517 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=115, interval=62307ms] 
2025-07-25 07:52:13,770 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=0ms] 
