2022-07-24 17:26:25,211 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-24 17:26:26,025 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=1z3fcvol1, creationTime=1658683585739, modificationTime=1658683585739, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-07-24 17:26:30,274 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-24 17:26:30,730 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=1z3fcvol1} | ret=SUCCESS |  
2022-07-24 17:26:31,019 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=CREATE_BUCKET {volume=1z3fcvol1, bucket=1z3fcdefault, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1658683590990, bucketEncryptionKey=null, modificationTime=1658683590990, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-07-24 17:26:35,123 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-24 17:26:35,586 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=1z3fcvol1} | ret=SUCCESS |  
2022-07-24 17:26:35,686 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=CREATE_BUCKET {volume=1z3fcvol1, bucket=1z3fcratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1658683595674, bucketEncryptionKey=null, modificationTime=1658683595674, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-07-24 17:26:39,826 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-24 17:26:40,224 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=1z3fcvol1} | ret=SUCCESS |  
2022-07-24 17:26:40,348 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=CREATE_BUCKET {volume=1z3fcvol1, bucket=1z3fcec, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1658683600341, bucketEncryptionKey=null, modificationTime=1658683600341, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
